Name of Building,Address,Year of Completion,Property_Type,Location
Amber Garden,110 Blue Pool Road,1976,0.0,Hong Kong Island
Amber Garden,70-72 Kennedy Road,1981,0.0,Hong Kong Island
Amber House,"Ground Floor:777, 777A, 779 &781 Nathan RoadUpper Floors:777/781 Nathan Road",1978,0.0,Kowloon
Amber Lodge,23 Hollywood Road,1998,0.0,Hong Kong Island
Amber Lodge,40/52 Mount Butler Drive,1971,0.0,Hong Kong Island
Amber Lodge,50 Mount Butler Drive,2014,0.0,Hong Kong Island
American International School,121 Waterloo Road,,1.0,Kowloon
Amigo Mansion,79A Wong Nai Chung Road,1975,0.0,Kowloon
Amity House,2/8 Hop Yat Road,1958,0.0,Kowloon
Amoy Building,29 & 31 Amoy Street,1977,0.0,Hong Kong Island
Amoy Gardens,77 Ngau Tau Kok Road,1981,0.0,Kowloon
Amoy Plaza,77 Ngau Tau Kok Road,1981,0.0,Kowloon
Amoycan Industrial Centre,7 Ngau Tau Kok Road,1961,0.0,Kowloon
Ample Building,"Basement:1 Woh Chai StreetGround &Upper Ground Floors:1, 5-9 &13 Woh Chai StreetUpper Floors:",1980,0.0,Kowloon
      East Block,3 Woh Chai Street,,0.0,Kowloon
      West Block,11 Woh Chai Street,,0.0,Kowloon
Amtel Building,144-148 Des Voeux Road C.,1984,0.0,Kowloon
Anchor Street Playground and ,53 Anchor Street,,0.0,Kowloon
Anchor Street Sewage Pumping,95 Anchor Street,,0.0,Kowloon
Andes Plaza,323 Queen's Road W.,1994,0.0,Kowloon
Angela Court,21 Magnolia Road,1979,0.0,Kowloon
Angie Court,2 Stirling Road,1979,0.0,Kowloon
Anho House,"Ground Floor:22, 24 & 28 Nullah RoadUpper Floors:26 Nullah Road",1978,0.0,Kowloon
Ann Gardens,29 Shouson Hill Road,1973,0.0,Hong Kong Island
Anne Black Health Centre,140 Tsat Tsz Mui Road,,0.0,Kowloon
Anson House,13/19A Lock Road,1963,0.0,Kowloon
Anton Building,1 Anton Street,1984,0.0,Hong Kong Island
Antonia House,4-12 Broom Road,1963,0.0,Hong Kong Island
Antung Building,6/16 Tai Wong Street E.,1974,0.0,Kowloon
Aoi Pui School,16 Station Lane,,1.0,Kowloon
Ap Lei Chau Centre,138 Lee Chi Road,1983,0.0,Kowloon
Ap Lei Chau Clinic,161 Main Street Ap Lei Chau,,0.0,Kowloon
Ap Lei Chau Estate Market,330 Ap Lei Chau Bridge Road,,0.0,Hong Kong Island
Ap Lei Chau Estate Multi-storey,326 Ap Lei Chau Bridge Road,,0.0,Hong Kong Island
Ap Lei Chau Main Street,"170 Main Street,Ap Lei Chau",,0.0,Kowloon
Ap Lei Chau Municipal,8 Hung Shing Street,,0.0,Kowloon
Ap Lei Chau Sewage Screening Plant,50 Lee Nam Road,,0.0,Kowloon
Ap Lei Chau Sub-Divisional,300 Ap Lei Chau Bridge Road,,0.0,Hong Kong Island
Ap Lei Chau West Industrial Area,4 Lee Lok Street,,0.0,Kowloon
Ap Lei Chau West Sewage,3 Lee Wing Street,,0.0,Kowloon
Apec Plaza,49 Hoi Yuen Road,1995,0.0,Kowloon
Aplichau Kaifong Primary School,9 Lei Tung Estate RoadLei Tung Estate,,1.0,Kowloon
apm Millennium City 5,418 Kwun Tong Road(LG/F - 11/F),2004,0.0,Kowloon
      BEA Tower Millennium City 5,(12/F  42/F),,0.0,Kowloon
Apollo Building,170 Castle Peak Road,1979,0.0,Hong Kong Island
AquaMarine,8 Sham Shing Road,2003,0.0,Kowloon
Arbuthnot House,10-12 Arbuthnot Road,1979,0.0,Hong Kong Island
Arcadia Gardens,10 Ede Road,1965,0.0,Kowloon
Arch Court,59 Sheung Shing Street,1979,0.0,Kowloon
Arden Court,96/102 Tin Hau Temple Road,1974,0.0,Kowloon
Ardshiel,45 Plantation Road,1981,0.0,Kowloon
Arezzo,33 Seymour Road,2015,0.0,Hong Kong Island
Argenta,63 Seymour Road,2013,0.0,Hong Kong Island
Argyle Centre Phase 1,65 Argyle Street &688 Nathan Road,1982,0.0,Kowloon
Argyle House,43/49 Argyle Street &274 Portland Street,1964,0.0,Kowloon
Argyle Mansion,153 Argyle Street,1965,0.0,Kowloon
ARIA,51 Fung Shing Street,2010,0.0,Kowloon
Arion Commercial Centre,Ground Floor:2-12 Queen's Road W.Upper Floors:8 Queen's Road W.,1981,0.0,Kowloon
Armagna Court,5 Magnolia Road,1982,0.0,Kowloon
Aroma Court,17 Tin Hau Temple Road,1967,0.0,Kowloon
Aroma House,98 Blue Pool Road,1964,0.0,Hong Kong Island
Arran Court,2 Shek Ku Street,1979,0.0,Kowloon
Arran Tower,7 Arran Street,1963,0.0,Kowloon
Arsenal House,1 Arsenal Street,1997,0.0,Hong Kong Island
Art Court,195A Castle Peak Road,2000,0.0,Hong Kong Island
Arthur Commercial Building,Ground Floor:26 Temple Street &33 Arthur StreetUpper Floors:33 Arthur Street,1992,0.0,Kowloon
Artland Court,392 Chai Wan Road,1978,0.0,Hong Kong Island
Arts Building,36/40 Robinson Road,1977,0.0,Hong Kong Island
Arts Court,22/24 Sycamore Street,1962,0.0,Kowloon
Arts Mansion,43 Wong Nai Chung Road,1979,0.0,Kowloon
Arts Mansion,46-58 Arthur Street &4-6 Man Ming Lane,1986,0.0,Kowloon
Artview Court,4 Hong Ping Street,1978,0.0,Kowloon
Ascot Mansion,421/425 Lockhart Road,1985,0.0,Hong Kong Island
Ascot Tower,45/47 Village Road,1984,0.0,Kowloon
Ascot Villas,11 King Kwong Street,1985,0.0,Kowloon
Ashfield House,4/8 Yuen Ngai Street,1972,0.0,Kowloon
Ashfield House (Stage II),5 Yuen Ngai Street,1974,0.0,Kowloon
Ashley 18,18 Ashley Road,1998,0.0,Kowloon
Ashley 27,27 Ashley Road,1965,0.0,Kowloon
Ashley Centre,25 Ashley Road,1988,0.0,Kowloon
Ashley Mansion,"Ground Floor:10/14 Ashley Road &3/5, 9 Ichang StreetUpper Floors:7 Ichang Street",1971,0.0,Kowloon
Ashley Nine,9/11 Ashley Road,1998,0.0,Kowloon
Asia Harvest Commercial Centre,324 Shau Kei Wan Road,1995,0.0,Hong Kong Island
Asia Mansion,326/328 Sai YeungChoi Street N. & 40/42Boundary Street,1966,0.0,Kowloon
Asia Mansions,390/394 King's Road,1966,0.0,Hong Kong Island
Asia One Tower,8 Fung Yip Street,1982,0.0,Kowloon
Asia Pacific Centre,8 Wyndham Street,1997,0.0,Kowloon
Asia Standard Tower,59/65 Queen's Road C. &6/10 Li Yuen Street W.,1977,0.0,Kowloon
Asia Women's League,3 Hereford Road,1987,0.0,Kowloon
Asian Building,254-258 Cheung ShaWan Road,1983,0.0,Kowloon
Asiarich Court,5 Staunton Street,1994,0.0,Hong Kong Island
Asjoe Mansion,2 Ho Man Tin Hill Road,1964,0.0,Hong Kong Island
Aspen Court,46 High Street,1990,0.0,Hong Kong Island
Assembly of God Morrison College,91 Po Kong Village Road,,0.0,Kowloon
Assun Pacific Centre,41 Tsun Yip Street,1996,0.0,Hong Kong Island
Astoria Building,Ground Floor:24/38 Ashley RoadUpper Floors:34 Ashley Road,1974,0.0,Kowloon
AT Tower,180 Electric Road,1995,0.0,Hong Kong Island
Attilio Building,579 Nathan Road,2001,0.0,Kowloon
Attitude on Granville,20/22 Granville Road,1981,0.0,Kowloon
Au's Building,15/19 Hollywood Road,1967,0.0,Hong Kong Island
Aubin House,171 & 172 Gloucester Road,1979,0.0,Hong Kong Island
Aura On Pennington,66 Jardine's Bazaar,2016,0.0,Hong Kong Island
Aurizon,60 & 62 Moorsom Road,,0.0,Kowloon
Austin Commercial Centre,4 Austin Avenue,1993,0.0,Kowloon
Austin Mansion,15A Austin Avenue,1958,0.0,Kowloon
Austin Plaza,83 Austin Road,1995,0.0,Kowloon
Austin Road 5,5/7 Austin Road,1976,0.0,Kowloon
Austin Tower,22/26 Austin Avenue,1982,0.0,Kowloon
Austin Tower (Phase II),152 Austin Road,1983,0.0,Kowloon
Australia House,7/9 Luard Road &31 Thomson Road,1970,0.0,Hong Kong Island
Australian International School,3A Norfolk Road,2001,1.0,Kowloon
Auto Plaza,65 Mody Road,1983,0.0,Kowloon
Auxiliary Medical Service,81 Princess Margaret Road,1991,0.0,Kowloon
Ava Court,44 Broadcast Drive,1973,0.0,Kowloon
Avalon,19 Tai Hang Road,1994,0.0,Hong Kong Island
Avery House,22 Tai Yuen Street,1987,0.0,Kowloon
Avon Court,2 Fessenden Road,1974,0.0,Kowloon
Avon Court,21/23 Caine Road,1967,0.0,Hong Kong Island
AXA Southside,38 Wong Chuk Hang Road,2017,0.0,Kowloon
Axeford Villa,3 Sands Street,1994,0.0,Hong Kong Island
Axis,200 Ma Tau Wai Road,2017,0.0,Kowloon
Azura,2A Seymour Road,2012,0.0,Hong Kong Island
Backingham Building,317/321 Nathan Road,1959,0.0,Kowloon
      Blocks 16-18,550 Victoria Road,1979,0.0,Kowloon
      Blocks 19-27,555 Victoria Road,1979,0.0,Kowloon
      Blocks 28-44,550 Victoria Road,1975,0.0,Kowloon
      Blocks 45-48,550 Victoria Road,1977,0.0,Kowloon
Bailey Garden ,23 Bailey Street,1995,0.0,Kowloon
Baily Court,33 Po Kong Village Road,2001,0.0,Kowloon
Baker Residences,8 Baker Court,2011,0.0,Kowloon
Baker View,66 Baker Street,2002,0.0,Kowloon
Bangkok Bank Building,490/492 Nathan Road,1976,0.0,Kowloon
Bangkok Bank Building,Ground Floor:27 Chiu Lung StreetUpper Floor:28 Des Voeux Road C.,1971,0.0,Kowloon
Bank Building,259/269 Des Voeux Road W.,1965,0.0,Kowloon
Bank of America Tower,12 Harcourt Road,1975,0.0,Hong Kong Island
Bank of China Building,2A Des Voeux Road C.,1952,0.0,Kowloon
Bank of China Tower,1 Garden Road,1989,0.0,Hong Kong Island
Bank of Communications Building,368 Hennessy Road,1985,0.0,Hong Kong Island
Bank of Communications Building,563 Nathan Road,1977,0.0,Kowloon
Bank of Communications Tower,233 Gloucester Road,1996,0.0,Hong Kong Island
Bank of East Asia Harbour View,56 Gloucester Road,1990,0.0,Hong Kong Island
Bank of East Asia,638/640 Nathan Road,1962,0.0,Kowloon
Bank Tower,351-353 King's Road,1986,0.0,Hong Kong Island
Banoo Villa,2 Tung Tau Wan Road,1989,0.0,Kowloon
Banyan Garden,863 Lai Chi Kok Road,2004,0.0,Kowloon
Banyan Mall,863 Lai Chi Kok Road,2003,1.0,Kowloon
Banyan Villas,9 Stanley Village Road,1983,0.0,Kowloon
Bao Hua Building,276-278 Cheung ShaWan Road,1966,0.0,Kowloon
Baptist Primary & Secondary School,30 San Shi Street,1962,1.0,Kowloon
Baptist Pui Li School,175 Sai Wan Ho Street,1965,1.0,Kowloon
Baptist Rainbow Primary School,15 Chuk Yuen RoadChuk Yuen South Estate,,1.0,Kowloon
Barker Villa,41 Barker Road,1974,0.0,Hong Kong Island
Bartlock Centre,3 Yiu Wa Street,1996,0.0,Kowloon
Baskerville House,13 Duddell Street &22 Ice House Street,1975,0.0,Hong Kong Island
Bauhinia Gardens,42 Chung Hom Kok Road,1972,0.0,Kowloon
Bay View Garden,2 Wing Ting Road,1989,0.0,Kowloon
Bay View Mansion,Ground Floor:24/36 Causeway Road &11/33 Moreton TerraceUpper Floors & Arcade:21 Moreton Terrace,1966,0.0,Kowloon
Bay Villas,57-71 Shouson Hill Road,2003,0.0,Hong Kong Island
Bayanihan Kennedytown Centre,55 Victoria Road,1960,0.0,Kowloon
Bayshore Apartments,244 Aberdeen Main Road,2000,0.0,Hong Kong Island
Bayside House,5B Stanley Main Street,1996,0.0,Kowloon
Bayview,9 Yuk Yat Street,2012,0.0,Kowloon
Bayview Court,49 Mount Davis Road,1977,0.0,Hong Kong Island
Bayview Mansion,54 MacDonnell Road,1960,0.0,Hong Kong Island
Bayview Park,3 Hong Man Street,1999,0.0,Hong Kong Island
BCC Building,25/31 Carnarvon Road,1976,0.0,Kowloon
Beach Mansion,"9A, 9B, 11A & 11BStanley Beach Road",1965,0.0,Hong Kong Island
Beach Pointe,16 Stanley Beach Road,1988,0.0,Hong Kong Island
            Block 1,1 Lung Ping Road,,0.0,Kowloon
            Block 3,3 Lung Ping Road,,0.0,Kowloon
            Block 5,5 Lung Ping Road,,0.0,Kowloon
            Block 7,7 Lung Ping Road,,0.0,Kowloon
            Block 15,15 Lung Ping Road,,0.0,Kowloon
            Block 17,17 Lung Ping Road,,0.0,Kowloon
            Block 19,19 Lung Ping Road,,0.0,Kowloon
            Block 10,10 Lung Ping Road,,0.0,Kowloon
            Block 12,12 Lung Ping Road,,0.0,Kowloon
            Block 14,14 Lung Ping Road,,0.0,Kowloon
            Block 8,8 Lung Ping Road,,0.0,Kowloon
            Block 2,2 Lung Ping Road,,0.0,Kowloon
            Block 4,4 Lung Ping Road,,0.0,Kowloon
            Block 6,6 Lung Ping Road,,0.0,Kowloon
      Shopping Centre ,9/13 Lung Ping Road,1986,0.0,Kowloon
Beacon Hill Court,55 Beacon Hill Road,1965,0.0,Hong Kong Island
Beacon Hill School,23 Ede Road,1968,1.0,Kowloon
Beacon Lodge,LG/F & UG/F:338 Shun Ning RoadUpper Floors:373 Po On Road,2008,0.0,Kowloon
Beaconsfield Court,7 Shouson Hill Road,1974,0.0,Hong Kong Island
Beau Cloud Mansion,64 MacDonnell Road,1965,0.0,Hong Kong Island
Beaudry Tower,38 Bonham Road,1989,0.0,Hong Kong Island
Beaulieu,57/63 Chung Hom Kok Road,1964,0.0,Kowloon
Beautiful Group Tower,Ground Floor:74/77 Connaught Road C. &52 Gilman StreetUpper Floors:74/77 Connaught Road C.,1972,0.0,Hong Kong Island
Beauty Court,10 Man Fuk Road,1965,0.0,Kowloon
Beauty Court,82 Robinson Road,1992,0.0,Hong Kong Island
Beauty Mansion,"Ground Floor:69, 69A & 71AKimberley RoadUpper Floors:71 Kimberley Road",1964,0.0,Kowloon
Bedford 28,28 Bedford Road ,2008,0.0,Kowloon
Bedford Factory Mansion,51 Bedford Road,1961,0.0,Kowloon
      Hong Fook Court (Block J),153 Tin Hau Temple Road,,0.0,Kowloon
      Hung Fook Court (Block B),169 Tin Hau Temple Road,,0.0,Kowloon
      Ka Fook Court (Block L),151 Tin Hau Temple Road,,0.0,Kowloon
      King Fook Court (Block A),173 Tin Hau Temple Road,,0.0,Kowloon
      On Fook Court (Block E),155 Tin Hau Temple Road,,0.0,Kowloon
      Pak Cheung Court (Block H),163 Tin Hau Temple Road,,0.0,Kowloon
      Pak Hee Court (Block I),159 Tin Hau Temple Road,,0.0,Kowloon
      Pak Kai Court (Block C),165 Tin Hau Temple Road,,0.0,Kowloon
      Pak Lee Court (Block F),171 Tin Hau Temple Road,,0.0,Kowloon
      Pak Sing Court (Block D),161 Tin Hau Temple Road,,0.0,Kowloon
      Pak Tak Court (Block G),167 Tin Hau Temple Road,,0.0,Kowloon
      Tak Fook Court (Block K),157 Tin Hau Temple Road,,0.0,Kowloon
Bedford House,5 Bedford Road,1975,0.0,Kowloon
Bedford Mansion,"Ground Floor:7, 11/19 Bedford Road &5/5A Fir StreetUpper Floors:9 Bedford Road",1964,0.0,Kowloon
Bedford Tower,Ground Floor:68 & 72 Bedford RoadUpper Floor:70 Bedford Road,1990,0.0,Kowloon
Bee Sing Mansion,93/103A Ma Tau Chung Road,1963,0.0,Kowloon
Begonia Court,8/38 Begonia Road,1959,0.0,Kowloon
Begonia Road Boys' Home,62 Begonia Road,,0.0,Kowloon
Bel Mount Garden,15 Arbuthnot Road,1993,0.0,Hong Kong Island
Bel Shine Centre,23 Tak Ku Ling Road,1994,0.0,Kowloon
Bel Trade Commercial Building,3 Burrows Street,1990,0.0,Hong Kong Island
Bel-Air House,15/19 Princess Margaret Road,1961,0.0,Kowloon
Belaire Heights,112 Waterloo Road,1974,0.0,Kowloon
Belcher Court,2 Sai Cheung Street,1985,0.0,Kowloon
Belcher's Hill,Ground & Upper Floors:9 Rock Hill StreetLower Ground Floor:42 & 44 Belchers Street,2011,0.0,Kowloon
Belfran Court,11 Belfran Road,1976,0.0,Kowloon
Belfran Mansion,15/15A Belfran Road,1966,0.0,Kowloon
Belfran Peak,9 Belfran Road,2017,0.0,Kowloon
Belgian Bank Building,721-725 Nathan Road,1977,0.0,Kowloon
Belgravia,57 South Bay Road,1989,0.0,Kowloon
Belgravia Heights,27 Tai Tam Road,1978,0.0,Kowloon
Belilios Public School,51 Tin Hau Temple Road,,1.0,Kowloon
Bell House,525/543A Nathan Road,1969,0.0,Kowloon
Bella Vista,3 Ying Fai Terrace,2000,0.0,Kowloon
Belle House,"Ground Floor:23-29, 33-35 Whitfield Road& 98-104 Hing Fat StreetUpper Floors:31 Whitfield Road",1977,0.0,Kowloon
Belle Tower,918 Cheung Sha Wan Road,1983,0.0,Kowloon
Belleve Court,22 Sun Sing Street,1988,0.0,Kowloon
Belleve Garden,53 Kung Lok Road,1982,0.0,Kowloon
Belleview Place,93 Repulse Bay Road,1987,0.0,Hong Kong Island
Bellevue Court,41 Stubbs Road,1964,0.0,Hong Kong Island
Bellevue Heights,160-162 Boundary Street,1981,0.0,Kowloon
Bellevue Heights,8 Tai Hang Drive,1973,0.0,Kowloon
Bello Horizonte,35 Shouson Hill Road,1981,0.0,Hong Kong Island
Belmont Court,10 Kotewall Road,1967,0.0,Hong Kong Island
Belmont Heights,3 Marconi Road,1977,0.0,Kowloon
Belvedere,41 Chung Hom Kok Road,1980,0.0,Kowloon
Belvedere Close,12 Shouson Hill Road,1969,0.0,Hong Kong Island
Belvedere Heights,361/367 Prince EdwardRoad W.,1974,0.0,Kowloon
Benefit Industrial Factory Building,61 Wong Chuk Hang Road,1969,0.0,Kowloon
Benson Tower,74 Hung To Road,1998,0.0,Kowloon
Berkeley Building,Ground Floor:81 Bulkeley Street &2 Marsh StreetUpper Floors:81 Bulkeley Street,1983,0.0,Kowloon
Berkshire House,25 Westlands Road,1998,0.0,Kowloon
Berwick Court,51 Berwick Street,1995,0.0,Kowloon
Berwick Mansion,61 Berwick Street,2000,0.0,Kowloon
Best View Court,66 & 68 MacDonnell Road,1956,0.0,Hong Kong Island
Best Western Grand Hotel,23 Austin Avenue,2012,1.0,Kowloon
Best Western Hotel Causeway Bay,38 Bowrington Road,2011,1.0,Kowloon
Best Western Hotel Harbour View,239 Queens Road W.,2012,1.0,Kowloon
Best Western Plus Hotel Hong Kong,308 Des Voeux Road W.,1996,1.0,Kowloon
Best Western Plus Hotel Kowloon,73/75 Chatham Road S.,1988,1.0,Kowloon
Best-O-Best Commercial Centre,32/36 Ferry Street,1990,0.0,Kowloon
Besthing Garden,35 Cheung Ning Street,1998,0.0,Kowloon
Besthing Mansion,404-406 Jaffe Road,1985,0.0,Kowloon
Bethanie,139 Pok Fu Lam Road,Pre 1945?,0.0,Hong Kong Island
Bethel Bible Seminary,45/47 Grampian Road,Pre 1945?,0.0,Kowloon
Beverley Commercial Centre,87/105 Chatham Road S.,1982,0.0,Kowloon
Beverley Heights,56 Cloud View Road,1979,0.0,Kowloon
Beverley Heights,67 Beacon Hill Road,1970,0.0,Hong Kong Island
Beverly Court,151/159 Hai Tan Street,1993,0.0,Kowloon
Beverly Court,2C Shiu Fai Terrace,1981,0.0,Kowloon
Beverly Hill,6 Broadwood Road,1988,0.0,Hong Kong Island
Beverly House,6 Fung Fai Terrace,1978,0.0,Kowloon
Beverly House,93/107 Lockhart Road,1984,0.0,Hong Kong Island
Beverly Villas,16 La Salle Road,1980,0.0,Kowloon
Bic Wah Court,"Ground Floor:464A, 464B, 464C,464D Des Voeux Road W.Upper Floors:464 Des Voeux Road W.",1981,0.0,Kowloon
Big Star Centre,8 Wang Kwong Road,1988,0.0,Kowloon
Bijou Apartments,157 Prince Edward Road W.,2003,0.0,Kowloon
Bijou Court,171 Prince Edward Road W.,2000,0.0,Kowloon
Bik Lan House,"Ground Floor:41, 45/47 Pitt Street &72 Portland StreetUpper Floors:43 Pitt Street",1971,0.0,Kowloon
Billion Court,147 Main Street Ap Lei Chau,1990,0.0,Kowloon
Billion Court,63 Wuhu Street,1994,0.0,Kowloon
Billion Plaza,8 Cheung Yue Street,2002,0.0,Kowloon
      Block A,137 Blue Pool Road,,0.0,Hong Kong Island
