Name of Building,Address,Year of Completion,Property_Type,Location
"Auberge Discovery Bay Hong Kong
      ???????","88 Siena Avenue
Discovery Bay",2012,,New Territories
"Avignon
      ??","1 Kwun Chui Rd.,
Tuen Mun",2011,,New Territories
"Avon Park
      ????","15 Yat Ming Rd.,
Fanling",1994,,New Territories
Azalea Ridge,"18 Fei Ngo Shan Rd.,
Sai Kung",1976,,New Territories
"Aztec Lodge
      ???","355A Castle Peak Rd.
Ting Kau, Tsuen Wan",-,,New Territories
"Bahama Garden
      ????","10/20 Cheung Fu St.,
Cheung Sha, Lantau Island",1982,,New Territories
"Balmoral Garden
      *????","21 Razor Hill Rd.,
Sai Kung",1992,,New Territories
"Bamboo Court
      *??","Ground Floor:
79/85, 89/95
Castle Peak Rd. San Hui
2/16 Tat Yan Square,
Tuen Mun
Upper Floors:
87 Castle Peak Rd. San Hui",1977,,New Territories
"Bamboo Garden
      ???","12 Fu Kong Shan,
Mui Wo, Lantau Island",-,,New Territories
"Ban Thong Building
      ????","15/19 Chun Pin St.,
Kwai Chung",1981,,New Territories
"Banco Garden
      ???","501-503 & 505 Shui Tsiu San
Tsuen, Shap Pat Heung,
Yuen Long",-,,New Territories
"Bank Building
      *????","Ground Floor:
23/33, 37 & 41/51
Tai Loong St., Kwai Chung
1st & 2nd Floors:
35 Tai Loong St.
Upper Floors:
39 Tai Loong St.
(excluding 1st & 2nd Floors)",1974,,New Territories
Banyan Villa,"DD 36 Lot 1328 s.A.
Tai Po Rd.",1983,,New Territories
"Baptist (Sha Tin Wai) Lui
      Ming Choi Primary School
      ???????????","8 Yuen Chau Kok Rd.,
Sha Tin",-,,New Territories
"Baptist Lui Ming Choi
      Primary School
      ????????","2 Tak Wing St.,
City One Shatin,
Sha Tin",-,,New Territories
"Baptist Lui Ming Choi
      Secondary School
      ????????","6 Lek Yuen St.,
Lek Yuen Estate,
Sha Tin",-,,New Territories
"Baptist Wing Lung
      Secondary School
      ???????","6A Ho Hing Circuit,
Tuen Mun",-,,New Territories
"Barbecue Gardens
      ???","9 Lok To St.,
Tuen Mun",-,,New Territories
"Bauhinia Garden
      *????","180 Castle Peak Rd.
Hung Shui Kiu, Tuen Mun",1995,,New Territories
"Bauhinia Garden
      *????","11 Tong Chun St.,
Tseung Kwan O
(See Appendix IV)",2001,,New Territories
"      Blocks 1-8
      ?1?8?",(See Appendix IV),,,New Territories
"Bauhinia House
      ???","18 Tai Lam Chung Rd.,
Tuen Mun",-,,New Territories
Bay View,"981 Clear Water Bay Rd.,
Pan Long Wan, Sai Kung",1964,,New Territories
"Bay View Lodge
      ???","3 Fung Sau Rd.,
Sai Kung",1983,,New Territories
"Baycrest
      *????","8 Hang Ming St.,
Ma On Shan",2000,,New Territories
"Bayshore Towers
      ????","608 Sai Sha Rd.,
Ma On Shan",1994,,New Territories
"      Towers 1-6
      ?????",,,,New Territories
"Bayside Villa
      *????","1 Pik Sha Rd.,
Sai Kung",1968,,New Territories
"Bayview Apartments
      *???","9 Silver Star Path,
Silverstrand, Sai Kung",1975,,New Territories
"Bayview Garden
      *????","633 Castle Peak Rd. Tsuen Wan
Tsuen Wan",1991,,New Territories
Bayview Pavilion,"3A, 7 & 9 Fung Sau Rd.,
Sai Kung",1991,,New Territories
"Bayview Terrace
      *????","107 Castle Peak Rd.
Castle Peak Bay, Tuen Mun",1989,,New Territories
Bayview Villa,"21B Tso Wo Hang,
Sai Kung",-,,New Territories
*Beach Villa,"99 Nam Wai,
Sai Kung",1981,,New Territories
      House A - C,,,,New Territories
Bearwood,"69 Sheung Sze Wan,
Clear Water Bay",-,,New Territories
"Beaulieu Peninsula
      *????","2 Yu Chui St.,
Tuen Mun",1982,,New Territories
"Beautiful Garden
      *????","11 Chui Lok St.,
Tai Po",1992,,New Territories
"      Block A - B
      A - B?",,,,New Territories
"Beauty Court
      *???","3 Hung Tai Rd.,
Hung Shui Kiu, Yuen Long",1993,,New Territories
"Bela Vista Villa
      *????","Lot 1491 RP
Cheung Chau",-,,New Territories
"      Blocks 1 - 16
      ?1 - 16?",,,,New Territories
"Belair Gardens
      *????","52 Tai Chung Kiu Rd.,
Sha Tin",,,New Territories
"      Admiralty Heights
      ???",,1982,,New Territories
"      Belair Gardens Commercial Centre
      Phase I
      ?????????",,1985,,New Territories
