Name of Building,Address,Year of Completion,Property_Type,Location
"Dragon Garden
      ??","32-42 Castle Peak Rd.
Tsing Lung Tau",1963,,New Territories
"Dragon Inn
      ??","12 Tsing Ha Lane,
Tuen Mun",1993,,New Territories
"Dragon Inn Court
      *???","9 Tsing Ha Lane,
Tuen Mun",1991,,New Territories
"Dragon Lake Villa
      *????","18 Silver Crest Rd.,
Sai Kung",1986,,New Territories
"Dragon View House
      *???","Ground Floor:
21, 25A & 25B
Wo Fung St., Fanling
Upper Floors:
23 Wo Fung St., Fanling",1981,,New Territories
"Dragon Villa
      ??","41 Castle Peak Rd.
Tsing Lung Tau, Tsuen Wan",1955,,New Territories
"Dragon Villa
      *????","7 Tsing Ha Lane,
Castle Peak Bay, Tuen Mun",1988,,New Territories
"Dragonair House
      ????","11 Tung Fai Rd.,
Chek Lap Kok",2000,,New Territories
Dragonara,"DD 252 Lot 248,
Tai Mong Tsai Rd.,
Tso Wo Hang, Sai Kung",1974,,New Territories
"Dragons Range
      ???","33 Lai Ping Rd.,
Sha Tin",2015,,New Territories
"      Court A
      ???",,,,New Territories
"      Court B
      ???",,,,New Territories
"      Court C
      ???",,,,New Territories
"      Court D
      ???",,,,New Territories
"Duke of Edinburgh Training Camp
      ????????","90 Hang Ha Po Village,
Lam Tsuen",1986,,New Territories
"Dung Fat Mansion
      *????","Ground Floor:
8/12 Dung Fat St.,
7/11 On Wing St.,
10/16 & 20 Tai Ho Rd.,
Tsuen Wan",1974,,New Territories
"      T.Mark
      ????","1/F to 3/F
18 Tai Ho Rd.
Upper Floors:
18 Tai Ho Rd.",,,New Territories
"E Lu
      *??","12 Castle Peak Rd.
Lam Tei, Tuen Mun",1987,,New Territories
"e-commerce Logistics Centre
      ??????","9/12 Yip Shing St.,
Kwai Chung",1972,,New Territories
Eagle Ridge,"11 Hang Hau Wing Lung Rd.,
Clear Water Bay, Sai Kung",2004,,New Territories
"Easeful Court
      ???","2 Tsing King Rd., Tsing Yi
(See Appendix I)",,,New Territories
"East Asia Gardens
      *????","G/F-2/F:
36-60 Texaco Rd., 3-21
Tsuen Fu St., 16 & 24
Tsuen Wah St., Tsuen Wan
Basement:
4 Tsuen Wing St., Tsuen Wan
Upper Floors:",1980,,New Territories
"      Cheung Fat House
      ???",1 Tsuen Fu St.,,,New Territories
"      Tai Fat House
      ???",2 Tsuen Wing St.,,,New Territories
"East Asia Industrial Building
      ????????","2 Ho Tin St., Tuen Mun",1979,,New Territories
"East Point City
      ???","8 Chung Wa Rd.,
Tseung Kwan O",1997,,New Territories
"Eastern Factory Building
      ??????","42/50 Kwai Ting Rd.,
Kwai Chung",1974,,New Territories
"Eastern Sea Industrial Building
      ????","29/39 Kwai Cheong Rd. &
48/56 Tai Lin Pai Rd.,
Kwai Chung",1975,,New Territories
"Ecclesia Bible College
      ?????","1/9 Tai Chung Kiu Rd.,
Sha Tin",-,,New Territories
"Ecclesia Bible College
      ?????","22 Tuen Fu Rd.,
Tuen Mun",-,,New Territories
"Eden Garden
      *???","6 Wai Hon Rd.,
Fanling",1992,,New Territories
"Eden Garden
      ????","263 Hang Tau,
Kwu Tung",-,,New Territories
"Eden Gardens
      ????","9-11 Lok Fung Path,
Sha Tin",1984,,New Territories
"Eden Place
      *??","39 Kwu Tung Rd.,
Sheung Shui",1996,,New Territories
"Eden Villa Adventist Home
      ???","5F/5G Pak Kong Au,
Sai Kung",-,,New Territories
EDGE,"30-34 Kwai Wing Rd.,
Kwai Chung",1972,,New Territories
"Edinburgh Villa
      ??","370 Castle Peak Rd.
Ting Kau, Tsuen Wan",1959,,New Territories
"Edward Wong Industrial Centre
      ??????","13-23 Wang Wo Tsai St.,
Tsuen Wan",1975,,New Territories
Edwardville,"25 Keng Hau Rd.,
Sha Tin",1992,,New Territories
"Edwick Industrial Centre
      *??????","4-30 Lei Muk Rd.,
Kwai Chung",1979,,New Territories
"Effort Industrial Building
      *??????","2-8 Kung Yip St.,
Kwai Chung",1978,,New Territories
"Eightland Gardens
      ????","2 On Chee Rd.,
Tai Po",1984,,New Territories
"El Castillo
      ????","200-211 Ha Che,
Pat Heung Yuen Long",-,,New Territories
"ELCHK Living Spirit
      Lutheran Church
      ???????????","DD 179 Lot 757
Tung Lo Wan Hill Rd.,
Sha Tin",-,,New Territories
"ELCHK Lutheran Academy
      ????????????","25 Lam Hau Tsuen Rd.,
Yuen Long",-,,New Territories
"ELCHK Salvation Lutheran Church
      ???????????","DD 184 GLL 7406
Sha Tin Tau Rd.,
Sha Tin",-,,New Territories
"ELCHK Wo Che Lutheran School
      ????????
      ??????","11 Hip Yan St.,
Wo Che Estate, Sha Tin",-,,New Territories
"Eldo Court
      *????","Ground Floor:
155-165 Ho Pong St.,
12-24 San Tsing St.,
2-10 Tsing Yin St.,
112-140 Tuen Mun Heung
Sze Wui Rd., Tuen Mun
Upper Floors:",1987,,New Territories
"      Block 1
      ?1?",163 Ho Pong St.,,,New Territories
"      Block 2
      ?2?","122 Tuen Mun Heung
Sze Wui Rd.",,,New Territories
"      Block 3
      ?3?",20 San Tsing St.,,,New Territories
"Elegance Garden
      *????","Tai Po
(See Appendix IV)",1990,,New Territories
"      Block 1
      ?1?","1 Nam Wan Rd.
(See Appendix IV)",,,New Territories
"      Block 2
      ?2?","3 Nam Wan Rd.
(See Appendix IV)",,,New Territories
"      Block 3
      ?3?","5 Nam Wan Rd.
(See Appendix IV)",,,New Territories
"      Block 4
      ?4?","7 Nam Wan Rd.
(See Appendix IV)",,,New Territories
"Elegance Gardens
      *????","4-8 King Fung Path,
Tuen Mun",1988,,New Territories
"Elegant Villa
      *???","4 Tsing Yung St.,
Castle Peak Bay, Tuen Mun",1983,,New Territories
"Elegant Villa
      ????","204 Fuk Hing Tsuen,
Ping Shan, Yuen Long",-,,New Territories
"      Block A-D
      A-D?",,,,New Territories
"Elegantia College
      ????","8 Ching Shing Rd.,
Sheung Shui",-,,New Territories
"Elijah House Tuen Mun Vineyard
      ??????????","DD 124 Lot 2331, 2332 RP
& 2335 RP Castle Peak Rd.
Hung Shui Kiu, Yuen Long",-,,New Territories
"Elite Garden
      *????","11 Tsing Chui Path,
Tuen Mun",1982,,New Territories
"Elite Garden
      ????",Yuen Long,-,,New Territories
"      Block G
      G?","342 Pok Wai, San Tin",,,New Territories
"      Block K
      K?","343 Pok Wai, San Tin",,,New Territories
"Elle Garden
      ????","80-87 Sheung Cheung Wai,
Ping Shan, Yuen Long",1998,,New Territories
"Emerald Garden
      *???","10 Chuk Kok,
Sai Kung",2002,,New Territories
"Emerald Green
      ???","138 Shap Pat Heung Rd.,
Yuen Long",2010,,New Territories
"Emerald Palace
      *????","4188 Tai Po Rd. Tai Po Kau,
Tai Po",2000,,New Territories
"Emerald Villa
      ???","DD CC 964 Peak Rd. W.,
Cheung Chau",1974,,New Territories
"Emmanuel Primary School
      ????","DD 390 Lot 198 RP &
STT 1049 Castle Peak Rd.
Sham Tseng",-,,New Territories
"Energy Industrial Centre
      ??????","2 San Fui St.,
Yuen Long",1993,,New Territories
"English Schools Foundation
      Island School
      ??????????","2 Chui Tin St.
Sun Chui Estate
Sha Tin",-,,New Territories
"English Schools Foundation
      Island School (Sha Tin Wai)
      ??????
      ????(???)","6B Sha Kok St.,
Sha Tin",-,,New Territories
"Epoch Industrial Building
      ??????","8 Cheung Ho St.,
Tsing Yi",1991,,New Territories
"Euroasia Dockyard
      ????","5-9 Tsing Keung St.,
Tsing Yi",1981,,New Territories
"Europa Garden
      *????","48 Kwu Tung Rd.,
Sheung Shui",1995,,New Territories
"Eve Villa
      ??","DD 51 C.L.L. No.
T11502 & T9945
Off Jockey Club Rd.,
Shek Wu Hui",-,,New Territories
"Ever Gain Building
      ?????","21-23 Yuen Shun Circuit,
Sha Tin",1990,,New Territories
"Ever Gain Building (No. 3)
      ????? (???)","22 On Sum St.,
Sha Tin",1992,,New Territories
"Ever Gain Centre
      ?????","28 On Muk St.,
Sha Tin",1993,,New Territories
"Ever Gain Centre
      ?????","43-57 Wang Wo Tsai St.,
Tsuen Wan",1988,,New Territories
"Ever Gain Plaza
      *?????","88 Container Port Rd.,
Kwai Chung",1998,,New Territories
"Evergreen Court
      *???","9 Chui Lok St.,
Tai Po",1991,,New Territories
"Evergreen Garden
      ???","113 Tong Fuk Village,
Lantau Island",-,,New Territories
"Evergreen Garden
      *????","12-50 Ma Lok Path,
Sha Tin",1984,,New Territories
"Evergreen Place
      ???","18 Ma Fung Ling Rd.,
Ping Shan",1998,,New Territories
"Evergreen Villa
      ????","10A Ngau Keng Tsuen,
Pat Heung, Yuen Long",-,,New Territories
"Evergreen Villa
      ???","90 Ma Ling Path,
Sha Tin",1983,,New Territories
Evergreen Villa,"DD 256 Lot 8 A & B,
Off Tai Mong Tsai Rd.,
Tai Po Tsai Village, Sai Kung",-,,New Territories
"Everlast Garden
      ??","DD 130 Lot 2741 Fu Tei,
Tuen Mun",-,,New Territories
"Everlasting Light Mission
      ????","1 Sai Wan Rd.,
Cheung Chau",1950,,New Territories
"EW International Tower
      ??????","120 Texaco Rd.,
Tsuen Wan",1995,,New Territories
"Excelsior Building
      *????","Ground Floor & Mezz. Floor:
40-52 Tai Chung Rd.,
Tsuen Wan
Upper Floors:
68-76 Sha Tsui Rd.",1981,,New Territories
"Exhibition Services and
      Logistics Centre
      ??????","83 Chun Yat St.,
Tseung Kwan O",1999,,New Territories
"F.D.B.W.A. Chow Chin Yau School
      ???????","1 Wu Chui Rd.,
Butterfly Estate,
Tuen Mun",-,,New Territories
"Fa Peng Knoll
      *????","13 Fa Peng Rd.,
Cheung Chau",1984,,New Territories
"Fabrico Industrial Building
      *??????","78-84 Kwai Cheong Rd.,
Kwai Chung",1976,,New Territories
"Fai Hung Yuen
      ???","14 Shek Po Rd.,
Hung Shui Kiu",-,,New Territories
Failo,"332 Wo Hop Shek Village,
Fanling",-,,New Territories
"Fair View Inn
      ????","170 Tong Fuk Village,
Lantau Island",-,,New Territories
"Fairview Garden
      *???","53-61 Wai Tsuen Rd.,
Tsuen Wan",1988,,New Territories
"Fairview Park
      ????","DD 104 Lot 4665,
Tai Sang Wai, Yuen Long",1977,,New Territories
"Fairview Park Alliance Church
      ?????????","32 Golden Bamboo Rd. N.,
Fairview Park, Yuen Long",-,,New Territories
"Fairview Villa
      *??","12 Hang Lok Lane, Sha Tin",1974,,New Territories
"Fairway Vista
      ????","1-12 Po Toi O,
Clear Water Bay",-,,New Territories
"Family Planning Association of HK
      (Yuen Long)
      ????????? (????)","149-153 Yuen Long On
Ning Rd., Yuen Long",1973,,New Territories
Fan Yeung Garden,"DD 100 Lot 1596 s.C
Off Fan Kam Rd.,
Ying Pun",-,,New Territories
"Fang Brothers Textiles
      Limited Factory Building
      ??????","20/24 Kwai Wing Rd.,
Kwai Chung",1972,,New Territories
"Fanling Ambulance Depot
      ?????","2 Sha Tau Kok Rd.,
Lung Yeuk Tau, Fanling",-,,New Territories
"Fanling Assembly of God Church
      Primary School
      ??????????","2 Wo Ming Lane,
Wo Hop Shek, Fanling",-,,New Territories
"Fanling Baptist Church
      ?????","3 Sha Tau Kok Rd.,
Lung Yeuk Tau,
North",-,,New Territories
"Fanling Baptist Church
      Lui Ming Choi Kindergarten
      ???????????","3 Sha Tau Kok Rd.,
Lung Yeuk Tau,
North",-,,New Territories
"Fanling Centre
      *????","33 San Wan Rd.,
Fanling",1990,,New Territories
"Fanling Fire Station
      ?????","2 Sha Tau Kok Rd.,
Lung Yeuk Tau, Fanling",-,,New Territories
"Fanling Garden
      *????","11 Fan Leng Lau Rd.,
Fanling",1987,,New Territories
"Fanling Government Secondary
      School
      ??????","27 Yat Ming Rd.,
Fanling",-,,New Territories
"Fanling Industrial Centre
      *??????","21 On Kui St.,
Fanling",1993,,New Territories
"Fanling Kau Yan College
      ??????","3 Yan Shing Lane,
Fanling",-,,New Territories
"Fanling Law Courts Building
      ??????","1A Sha Tau Kok Rd.,
Lung Yeuk Tau, Fanling",-,,New Territories
"Fanling Lutheran Secondary School
      ????????????","270 Jockey Club Rd.,
Fanling",-,,New Territories
"Fanling Magistracy
      ?????","302 Jockey Club Rd.,
Fanling",-,,New Territories
"Fanling New Town Squash Court
      ????????","71 San Wan Rd., Fanling",-,,New Territories
"Fanling Primary Health Care Centre
      ????????","2 Pik Fung Rd.,
Fanling",-,,New Territories
"Fanling Public School
      ??????","Fanling Wai,
Fanling",-,,New Territories
"Fanling Rhenish Church
      Secondary School
      ???????","1 Luen Yick St.,
Fanling",-,,New Territories
"Fanling South Government Complex
      ?????????","7 Wo Ming Lane,
Fanling",,,New Territories
"Fanling Substation
      ?????","342 Jockey Club Rd.,
Fanling",-,,New Territories
"Fanling Swimming Pool
      ?????","73 San Wan Rd.,
Fanling",-,,New Territories
"Fanling Theatre
      ????","1 Luen Fat St.,
Luen Wo Market",1965,,New Territories
"Fanling Town Center
      *????","18 Fanling Station Rd.,
Fanling",1993,,New Territories
"      Amber Court
      ???",,,,New Territories
"      Brilliant Court
      ???",,,,New Territories
"      Canary Court
      ???",,,,New Territories
"      Dragon Court
      ???",,,,New Territories
"      Elegant Court
      ???",,,,New Territories
"      Forum Court
      ???",,,,New Territories
"      Galaxy Court
      ???",,,,New Territories
"Fanling Tsung Kyam Church
      ?????","20A Shung Him Tong,
Fanling",-,,New Territories
"Far East Consortium
      Peng Chau Building
      *????????","15 Wai Tsai St.,
Peng Chau",1978,,New Territories
"Far East Consortium
      Tuen Mun Building
      *????????","2 & 4 Yan Oi Tong Circuit,
21-43 Castle Peak Rd.
San Hui, Tuen Mun",1977,,New Territories
"Far East Consortium
      Tuen Mun Central Building
      *??????????","1-29 Tat Yan Square,
Tuen Mun",1979,,New Territories
"Far East Consortium
      Yuen Long Building
      *????????","Ground Floor:
13/33 Yuen Long On Lok Rd.,
Yuen Long
Upper Floors:
29 Yuen Long On Lok Rd.",1975,,New Territories
"Faraday House
      *???","6 Tsing Yung St.,
Tuen Mun",1981,,New Territories
"Fat Cheung Yuen
      ???","217 Hang Ha Po,
Lam Tsuen",-,,New Territories
"Fat Kwong Temple
      ???","DD 217 Lot 1102,
Off Hiram's Highway,
Hebe Haven",-,,New Territories
"Fat Shing Building
      ???","42-50 Jockey Club Rd.,
Sheung Shui",1980,,New Territories
"Fat Shing Yuen
      ???","177 Pai Tau Village,
Sha Tin",-,,New Territories
"Fat Wan Lan Yeuk
      ????","DD 182 Lot 378 RP& etc,
Off Lion Rock Tunnel Rd.,
Kak Tin, Sha Tin",-,,New Territories
"Father Cucchiara Memorial School
      ?????????","Cheung Ching Estate,
Tsing Yi",-,,New Territories
"Favor Industrial Centre
      ??????","2-6 Kin Hong St.,
Kwai Chung",1989,,New Territories
"Faye Villa
      ???","2A Sheung Chuk Yuen,
San Tin",1992,,New Territories
Fei Ngo Lodge,"S.D. 2 Lot 1966 (Pt.)
Clear Water Bay Rd.",1957,,New Territories
"Felicity Garden
      *???","139A Tsing Shan Tsuen,
Tuen Mun",-,,New Territories
Ferry Hill,"4781 Tai Po Rd. Tai Po Kau,
Tai Po",-,,New Territories
"Festigood Centre
      ??????","8 Lok Yip Rd.,
On Lok Tsuen, Fanling",1991,,New Territories
"Festival City
      ??","1 Mei Tin Rd.,
Tai Wai, Sha Tin",2010,,New Territories
"Ficus Garden
      ???","11 Lok King St.,
Sha Tin",1991,,New Territories
"Filial Park
      ????","25 Yeung Tsing Rd.,
Tuen Mun",2012,,New Territories
"Finery Park
      ????","7 Yuk Nga Lane,
Tseung Kwan O",1994,,New Territories
"Fiona Garden
      *????","28 Tsing Tai Rd.,
Tuen Mun",1976,,New Territories
"Fiori
      *??","131 Castle Peak Rd.,
Ping Shan, Yuen Long",2005,,New Territories
"Flamingo Garden
      *????","Fei Ngo Shan, Sai Kung",,,New Territories
"      Block A
      A?",6 Fei Wan Rd.,1982,,New Territories
"      Block B
      B?",8 Fei Wan Rd.,1980,,New Territories
"      Block E
      E?",12 Fei Ngo Shan Rd.,1983,,New Territories
"      Blocks C-D
      C-D?",7 Fei Wan Rd.,1982,,New Territories
"Flora Plaza
      *????","88 Pak Wo Rd.,
Fanling",1995,,New Territories
"Floral Villas
      *???","18 Tso Wo Rd.,
Sai Kung",1993,,New Territories
"Florence Mansion
      *????","6 Tsing Ling Path,
Tuen Mun",1982,,New Territories
Flourish Food Manufactory Centre,"18 Tai Lee St., Yuen Long",1991,,New Territories
"Flowery Garden
      ???","111 Hung Uk Tsuen,
Ping Shan",-,,New Territories
"Flowery Villas
      *????","123 Ngau Hom,
Yuen Long",-,,New Territories
"Fo Tan Industrial Centre
      *??????","26-28 Au Pui Wan St.,
Fo Tan",1985,,New Territories
"Fo Tan Railway House
      ??????","9 Lok King St.,
Sha Tin",1995,,New Territories
"Fok On Garden
      *????","11 On Chun St.,
Ma On Shan
(See Appendix IV)",1992,,New Territories
"      Blocks 1 & 2
      ?1?2?",(See Appendix IV),,,New Territories
"Fonda Industrial Building
      *??????","37-39 Au Pui Wan St.,
Fo Tan",1981,,New Territories
"Fong Chao San Fong
      ????","DD 186 Lot 506,
Off Tai Po Rd. Sha Tin",-,,New Territories
"Fong Pin Hospital
      ????","Tai Tsoi Yuen Rd.,
Cheung Chau",-,,New Territories
"Fong Sheung Aquarium
      ????","DD 52 Lot 835, Off Jockey
Club Rd., Shek Wu Hui",-,,New Territories
"Fong Shu Fook Tong Foundation
      Fong Shu Chuen Primary School
      ???????????","21 Wah Ming Rd.,
Wah Ming Estate,
Fanling",-,,New Territories
"Fong Yuen
      ??","DD 52 Lot 872,
Off Jockey Club Rd.,
Shek Wu Hui",-,,New Territories
"Fontana Villa
      ??","21 Lok Chui St.,
Tuen Mun",1999,,New Territories
"Foo Choy House
      ???","Ground Floor:
45-49 Fau Tsoi St. &
4-6 Hop Choi St., Yuen Long
Upper Floors:
2 Hop Choi St.",1974,,New Territories
"Foo Kwai House
      *???","12 Chuen Lung St.,
Tsuen Wan",1971,,New Territories
"Foo Yik Commercial Building
      *??????","2 San On St.,
Tuen Mun",1981,,New Territories
"Foo Yu Building
      *???","Ground Floor:
263/267 & 271/275
Castle Peak Rd. Tsuen Wan
4/8 Fu Wing St.,
3/11 Dung Fat St. &
5/7 Wun Tung St., Tsuen Wan 
Upper Floors:
269 Castle Peak Rd.
Tsuen Wan",1973,,New Territories
"Fook Cheong Building
      *???","Ground Floor:
21-27 & 31-43 Ma Wang Rd.,
Yuen Long
Upper Floors:
29 Ma Wang Rd.",1977,,New Territories
"Fook Hing Building
      ???","232 Castle Peak Rd.
Yuen Long, Yuen Long",1970,,New Territories
"Fook Loi Building
      ???","11/17 Yuen Long On
Ning Rd., Yuen Long",1971,,New Territories
"Fook Mui Building
      ???","64 Fu Shin St.,
Tai Po",1982,,New Territories
"Fook On Building
      *???","65-79 Yuen Long On
Ning Rd., Yuen Long",1976,,New Territories
"Fook On Building
      ???","Ground Floor:
41-43, 47-49 Heung Sze
Wui St., 51-55, 59-65,
69-73 Wan Tau St.,
2C-2O Wan Tau Square &
6-8 Tai Kwong Lane, Tai Po
Upper Floors:",1974,,New Territories
"      Block 1
      ?1?",45 Heung Sze Wui St.,,,New Territories
"      Block 2
      ?2?",57 Wan Tau St.,,,New Territories
"      Block 3
      ?3?",67 Wan Tau St.,,,New Territories
"Fook Ping Mansion
      *???","54-58 Kwong Fuk Rd.,
Tai Po",1982,,New Territories
"Fook Sang
      ??","162 Fung Kat Heung,
Kam Tin, Yuen Long",-,,New Territories
"Fook Shun Building
      ???","Ground Floor:
45-51, 55-67 Ma Wang Rd.
& 23-25 Ping Wui St.,
Yuen Long
Upper Floors:
53 Ma Wang Rd.",1977,,New Territories
"Fook Yip Building
      ????","53-57 Kwai Fung Crescent,
Kwai Chung",1987,,New Territories
"Foon Lok Mansion
      *???","Ground Floor:
12, 16/22 & 26
Tai Wing Lane, Tai Po,
9 Heung Sze Wui Square
Upper Floors:
14 & 24 Tai Wing Lane",1971,,New Territories
"Foon Tak Building
      *????","Ground Floor:
1 Lai Fong St. & 38-44
Shing Fong St., Kwai Chung
Upper Floors:
40 Shing Fong St.",1977,,New Territories
"Foon Yuen
      ??","250 Yeung Uk San Tsuen,
Wang Chau, Yuen Long",1969,,New Territories
"Foon Yuen Aquarium
      ????","DD 51 Lot 369,
Off Jockey Club Rd.,
Shek Wu Hui",-,,New Territories
"Forda Industrial Building
      *??????","16 Wang Chau Rd.,
Yuen Long",1978,,New Territories
"Forefront Cyber Centre
      ??????","9 Fui Sha Wai Lane,
Ping Shan",1991,,New Territories
"Forest Hill
      *???","1E Kau To Shan Rd.,
Sha Tin",1995,,New Territories
"Forest Hill
      *????","31 Lo Fai Rd., Tai Po",1996,,New Territories
"Forest Hill Villa
      *???","1 Yan Yee Rd., Sai Kung",1981,,New Territories
"Fork To
      ??","DD 77 Lots 63B & etc.
Off Ping Che Rd., Ping Che",-,,New Territories
Fort Fensome,"5 Tan Shan Rd.,
Clear Water Bay",-,,New Territories
"Fortress Garden
      *????","300 Tsing Chuen Wai,
Tuen Mun",-,,New Territories
"Fortuna House
      *????","Lower Ground Floor:
118 Lei Muk Rd.,
Kwai Chung
Ground Floor:
151 Shek Yam Rd. &
4 Tung Chi St.
Upper Floor:
2 Tung Chi St.",1979,,New Territories
"Fortune Building
      *????","105/129 Sha Tsui Rd.,
Tsuen Wan",1971,,New Territories
"Fortune Centre
      *????","Ground Floor:
17-31 Fung Cheung Rd.,
2-18 Fung Heung St. &
15, 17 & 21 Fung Kam St.,
Yuen Long
Upper Floors:
19 Fung Kam St.",1983,,New Territories
"Fortune Commercial Building
      *??????","362 Sha Tsui Rd.,
Tsuen Wan",1994,,New Territories
"Fortune Garden
      *????","72 Ting Kok Rd.,
Tai Po",1991,,New Territories
"Fortune Garden
      ????","DD 104 Lots 2363A & etc.,
Castle Peak Rd. Tam Mi
Yuen Long",-,,New Territories
"Fortune House
      *???","16 Chi Fuk Circuit, Fanling",1996,,New Territories
"Fortune Mansion
      *????","Ground Floor:
3/5 Cheong Tai St.,
2/6 On Wing St.,
10/18 Tsuen Hing Path,
Tsuen Wan
Upper Floors:
1 Cheong Tai St.",1975,,New Territories
"Fortune Plaza
      *????","4 On Chee Rd., Tai Po",1988,,New Territories
"      Fu Cheong Court
      ???",,,,New Territories
"      Kwai Cheong Court
      ???",,,,New Territories
"      Wah Cheong Court
      ???",,,,New Territories
"      Wing Cheong Court
      ???",,,,New Territories
"Fortune Villa
      *??","7 Wo Shun Lane,
Cheung Chau",-,,New Territories
"Fortune Villa
      *????","188 Tsing Chuen Wai,
Tuen Mun",-,,New Territories
"Forward Mansion
      *????","26A Yan Ching St.,
Tuen Mun",1982,,New Territories
"Fou Ming Building
      *???","Ground Floor:
5/9 Heung Shing St., &
9/15 & 19/23 Heung Wo St.
Upper Floors:
17 Heung Wo St., Tsuen Wan",1970,,New Territories
"Fou Wah Centre
      *????","210 Castle Peak Rd.
Tsuen Wan, Tsuen Wan",1978,,New Territories
"Fou Wah Industrial Building
      *??????","10/16 Pun Shan St.,
Tsuen Wan",1972,,New Territories
"Four Pearls Building
      *????","5 Tsing Pak Path,
San Hui, Tuen Mun",1982,,New Territories
"Four Seas eFood Centre
      ????????","2 Hong Ting Rd.,
Sai Kung",2000,,New Territories
"Four Seas Group Building
      ??????","1 Hong Ting Rd.
Sai Kung",1993,,New Territories
"Fragrant Villa
      ????","DD 229 Lot 211
Clear Water Bay Rd.,
A Kung Wan",1977,,New Territories
"Frebong Building
      ???","22-26 Yan Hing St., Tai Po",1981,,New Territories
"Free Methodist Bradbury
      Chun Lei Primary School
      ????????????","2 Chui Tin St.,
Sun Chui Estate,
Sha Tin",-,,New Territories
"Free Methodist Mei Lam
      Primary School
      ???????","Mei Lam Estate,
Sha Tin",-,,New Territories
"Fu Cheong Building
      ???","28 Fu Shin St., Tai Po",1991,,New Territories
"Fu Cheong House
      *???","Ground Floor:
24-26 Tai Wai Rd. &
4 Chik Tak Lane, Tai Wai
Upper Floors:
4 Chik Tak Lane",1972,,New Territories
"Fu Cheung Building
      *???","Ground Floor:
93/109 Yuen Long On Ning
Rd. & 19/21 Kik Yeung Rd.,
Yuen Long
Upper Floors:
93/109 Yuen Long
On Ning Rd.",1974,,New Territories
"Fu Cheung Centre
      *????","5-7 Wong Chuk Yeung St.,
Sha Tin",1984,,New Territories
"Fu Fai Garden
      *????","28 On Shing St.,
Ma On Shan
(See Appendix IV)",1991,,New Territories
"      Blocks 1 & 2
      ?1?2?",(See Appendix IV),,,New Territories
"Fu Hang Building
      *????","Ground Floor:
21 & 23 Kai Fat Path
26/28, 32/36 &
40 Yan Ching St., Tuen Mun
Upper Floors:
30 & 38 Yan Ching St.",1974,,New Territories
"Fu Heng Estate
      *???","6 Chung Nga Rd., Tai Po
(See Appendix I)",,,New Territories
"      Heng Cheong House
      ???",(See Appendix I),,,New Territories
"      Heng Lung House
      ???",(See Appendix I),,,New Territories
"      Heng Shing House
      ???",(See Appendix I),,,New Territories
"      Heng Tai House
      ???",(See Appendix I),,,New Territories
"      Heng Tsui House
      ???",(See Appendix I),,,New Territories
"      Heng Wing House
      ???",(See Appendix I),,,New Territories
"      Heng Yiu House
      ???",(See Appendix I),,,New Territories
"      Heng Yue House
      ???",(See Appendix I),,,New Territories
"Fu Heng Shopping Centre
      ????","6 Chung Nga Rd.,
Fu Heng Estate, Tai Po",-,,New Territories
"Fu Heng Sports Centre
      ?????","6 Chung Nga Rd.,
Fu Heng Estate, Tai Po",-,,New Territories
"Fu Hing Building
      ???","19-21 Yan Hing St., Tai Po",1979,,New Territories
"Fu Hing Building
      ???","29-39 Fu Hing St.,
Shek Wu Hui",1981,,New Territories
"Fu Hing Building
      *????","Ground Floor:
218, 222 & 226-230
Castle Peak Rd. Yuen Long,
Yuen Long
Upper Floors:
224 Castle Peak Rd.
Yuen Long",1976,,New Territories
"Fu Hing Garden
      ????","348 Shui Tsiu San
Tsuen, Shap Pat Heung,
Yuen Long",-,,New Territories
"Fu Ho Building
      ????","Ground Floor:
3-7 Yuen Long Kau Yuk Rd.,
Yuen Long
Upper Floors:
5 Yuen Long Kau Yuk Rd.",1979,,New Territories
"Fu Ho Mansion
      *???","3 Luen On St.,
Luen Wo Market, Fanling",1991,,New Territories
"Fu King Building
      *???","14/16 On Fu Rd., Tai Po",1977,,New Territories
"Fu King Building
      ???","78-84 Hop Yick Rd.,
Yuen Long",1975,,New Territories
"Fu Kwai Building
      ???","1-11 Luen Wo Rd.,
Luen Wo Market, Fanling",1983,,New Territories
"Fu Kwai Garden
      ????","DD 121 Lot 199
s.A-s.K & (RP) Off Castle
Peak Rd. Ping Shan,
Yuen Long",-,,New Territories
"Fu Lai Garden
      *????","112 Tong Yan Sun Tsuen Rd.,
Ping Shan",-,,New Territories
"Fu Loy Garden
      *????","7 Ma Wang Rd.,
Yuen Long",1987,,New Territories
"Fu Ning Garden
      *????","25 Po Ning Rd.,
Tseung Kwan O
(See Appendix IV)",1990,,New Territories
"      Blocks 1-6
      ?1?6?",(See Appendix IV),,,New Territories
"Fu Ning House
      *???","55/57 Yuen Long On
Ning Rd., Yuen Long",1974,,New Territories
"Fu On Building
      *????","18 Kin Tak St.,
Yuen Long",1986,,New Territories
"Fu Shan Public Mortuary
      ??????","10 Yau On St.,
Sha Tin",-,,New Territories
"Fu Shin Building
      *????","72-74 Fu Shin St.,
Tai Po",1987,,New Territories
"Fu Shin Estate
      *???","12 On Po Rd., Tai Po
(See Appendix I)",,,New Territories
"      Shin King House
      ???",(See Appendix I),,,New Territories
"      Shin Kwan House
      ???",(See Appendix I),,,New Territories
"      Shin Lun House
      ???",(See Appendix I),,,New Territories
"      Shin Mei House
      ???",(See Appendix I),,,New Territories
"      Shin Nga House
      ???",(See Appendix I),,,New Territories
