Name of Building,Address,Year of Completion,Property_Type,Location
"Alice Court
      *???",10 Tsat Tsz Mui Rd.,1977,,
"Alice Court
      *???",43 Broadcast Drive,1971,,
"All Fit Garden
      *???",20/22 Bonham Rd.,1993,,
"All Saints' Church
      ???",2 Yim Po Fong St.,1950,,
"Alliance Building
      *????","Ground Floor:
130-132 & 134-136
Connaught Rd. C.
Upper Floors:
133 Connaught Rd. C.",1975,,
"Alliance Primary School
      Kowloon Tong
      ???????",2 Lancashire Rd.,-,,
"Alliance Primary School
      Tai Hang Tung
      ???????",13 Tong Yam St.,-,,
"Alliance Primary School Whampoa
      ??????",21 Tak Fung St.,-,,
"Allied Kajima Building
      ??????",138 Gloucester Rd.,1990,,
"Allied Plaza
      ????","G/F – 3/F
760 Nathan Rd.",1973,,
"Allways Centre
      *????",468 Jaffe Rd.,1995,,
"Alpha Court
      *??",95/99 Tai Hang Rd.,1959,,
"Alpha House
      *????",27/33 Nathan Rd.,1964,,
"Alpine Court
      *????",12 Kotewall Rd.,1971,,
Altadena House,27 Barker Rd.,1974,,
"Altro
      ??","Ground Floor:
118 Second St.
Upper Floors:
116 Second St.",2014,,
"Amber Commercial Building
      ??????","Ground Floor:
70-72 Morrison Hill Rd.
Upper Floors:
74 Morrison Hill Rd.",1980,,
"Amber Garden
      ???",110 Blue Pool Rd.,1976,,
"Amber Garden
      *??",70-72 Kennedy Rd.,1981,,
"Amber House
      *???","Ground Floor:
777, 777A, 779 &
781 Nathan Rd.
Upper Floors:
777/781 Nathan Rd.",1978,,
"Amber Lodge
      ???",23 Hollywood Rd.,1998,,
"Amber Lodge
      *???",40/52 Mount Butler Drive,1971,,
"Amber Lodge
      ???",50 Mount Butler Drive,2014,,
"American International School
      ??????",121 Waterloo Rd.,-,,
"Amigo Mansion
      *????",79A Wong Nai Chung Rd.,1975,,
"Amity House
      ????",2/8 Hop Yat Rd.,1958,,
"Amoy Building
      ???",29 & 31 Amoy St.,1977,,
"Amoy Gardens
      ????",77 Ngau Tau Kok Rd.,1981,,
"Amoy Plaza
      ????",77 Ngau Tau Kok Rd.,1981,,
"Amoycan Industrial Centre
      ?????",7 Ngau Tau Kok Rd.,1961,,
"Ample Building
      *????","Basement:
1 Woh Chai St.
Ground &
Upper Ground Floors:
1, 5-9 &13 Woh Chai St.
Upper Floors:",1980,,
"      East Block
      ??",3 Woh Chai St.,,,
"      West Block
      ??",11 Woh Chai St.,,,
"Amtel Building
      ????",144-148 Des Voeux Rd. C.,1984,,
"Anchor Street Playground and 
      Anchor Street Playground
      Public Toilet
      ???????????????",53 Anchor St.,-,,
"Anchor Street Sewage Pumping
      Station
      ???????",95 Anchor St.,-,,
"Andes Plaza
      *????",323 Queen's Rd. W.,1994,,
"Angela Court
      *???",21 Magnolia Rd.,1979,,
"Angie Court
      *???",2 Stirling Rd.,1979,,
"Anho House
      *???","Ground Floor:
22, 24 & 28 Nullah Rd.
Upper Floors:
26 Nullah Rd.",1978,,
"Ann Gardens
      ??",29 Shouson Hill Rd.,1973,,
"Anne Black Health Centre
      ????????",140 Tsat Tsz Mui Rd.,-,,
"Anson House
      *????",13/19A Lock Rd.,1963,,
"Anton Building
      *????",1 Anton St.,1984,,
"Antonia House
      *??",4-12 Broom Rd.,1963,,
"Antung Building
      *????",6/16 Tai Wong St. E.,1974,,
"Aoi Pui School
      ????",16 Station Lane,-,,
"Ap Lei Chau Centre
      *?????",138 Lee Chi Rd.,1983,,
"Ap Lei Chau Clinic
      ?????",161 Main St. Ap Lei Chau,-,,
"Ap Lei Chau Estate
      ????",(See Appendix I),,,
"      Ap Lei Chau Community Hall
      ???????","328 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Chak House
      ???","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Fook House High Block
      ??? ??","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Fook House Low Block
      ??? ??","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Moon House High Block
      ??? ??","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Moon House Low Block
      ??? ??","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Ning House
      ???","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Tim House
      ???","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      Lei Yee House
      ???","322 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"      The Harbour School
      ????","332 Ap Lei Chau Bridge Rd.
(See Appendix I)",,,
"Ap Lei Chau Estate Market
      ??????",330 Ap Lei Chau Bridge Rd.,-,,
"Ap Lei Chau Estate Multi-storey
      Carpark
      ?????????",326 Ap Lei Chau Bridge Rd.,-,,
"Ap Lei Chau Main Street
      Sewage Pumping Station
      ?????????","170 Main St.,
Ap Lei Chau",-,,
"Ap Lei Chau Municipal
      Services Building
      ???????",8 Hung Shing St.,-,,
"Ap Lei Chau Sewage Screening Plant
      ????????",50 Lee Nam Rd.,-,,
