Name of Building,Address,Year of Completion,Property_Type,Location
"Consort Garden
      ????",22/24 Consort Rise,1963,,
"Consort Villas
      *???",23/25 Consort Rise,1972,,
"Construction Industry Training
      Authority Kowloon Bay
      Training Centre
      ?????????????",44 Tai Yip St.,1977,,
"Consulate General Of The United
      States Of America
      ?????",26 Garden Rd.,1958,,
"Consumer Education Information
      Centre
      ?????????",3 Ashley Rd.,2001,,
Contempo Place,81 Hung To Rd.,1983,,
"Content Lodge
      ???",140 Waterloo Rd.,1969,,
"Continental Mansion
      *????",294 King's Rd.,1962,,
"Continental Orient
      Commercial Centre
      ??????",8A Hanoi Rd.,1993,,
"Convex Building
      ????",388/390 Portland St.,2006,,
"Conway Mansion
      *???",29 Conduit Rd.,1972,,
"Conwell House
      *????",34/38 Stanley St.,1974,,
"Conwell Mansion
      *????",114/126 Wharf Rd.,1974,,
"Conwell Villa
      ???",1 Cassia Rd.,1997,,
Coombe Apartments,15/17 Coombe Rd.,1949,,
"Coral Court
      ???",26 Cross St.,1995,,
"Coral Court
      *???","51/67 Cloud View Rd. &
116/126 Tin Hau Temple Rd.",1973,,
"Coral Villas
      ????",27 Horizon Drive,1977,,
"Cordial Mansion
      *????",15 Caine Rd.,1973,,
"Corn Yan Centre
      ????",3 Jupiter St.,1987,,
"Cornell Centre
      ????",50 Wing Tai Rd.,1991,,
"Cornell Court
      *???",56 King's Rd.,1984,,
"Cornerstone Education Centre
      ?????????????",40 Lung Kong Rd.,1953,,
"Cornwall Court
      *???",54 King's Rd.,1984,,
"Cornwall Court
      *????",687/689 Nathan Rd.,1962,,
"Cornwall Street Park
      (Squash & Table-tennis Centre)
      ??????(????????)",17 Cornwall St.,-,,
"Cornwall Terrace
      *???",2E/2H Cornwall St.,1957,,
"Corona Tower
      *???",93 Caine Rd.,1990,,
"Coronet Court
      *????","Ground Floor:
323/333 King's Rd. &
1/9A North Point Rd.
Upper Floors:
321 King's Rd.",1958,,
"Corporation Square
      ????",8 Lam Lok St.,1993,,
"COS Centre
      ??????",56 Tsun Yip St.,2015,,
"Cosmo Hotel
      ????",375 Queen's Rd. E.,1997,,
"Cosmopolitan Centre
      *????","4th Floor - 13th Floor
760 Nathan Rd.",1973,,
"Cosmopolitan Estates
      ????",,,,
"      Tai Chuen Building
      ???","Basement:
52 Kok Cheung St.
Ground Floor:
88-94, 98-102 Ivy St.
1st Floor:
76/96 Ivy St.
Upper Floors:
96 Ivy St.",1975,,
"      Tai Chung Building
      ???","Ground Floor:
67-75, 79-87 Ivy St.
Upper Floors:
77 Ivy St.",1974,,
"      Tai Fong Building
      ???","Ground Floor:
51-53, 57-65 Ivy St.
97-105 Tai Kok Tsui Rd.
Upper Floors:
55 Ivy St.",1974,,
"      Tai Fu Building
      ???","Ground Floor:
6-8, 12-20 Tai Tsun St.
129-137 Tai Kok Tsui Rd.
Upper Floors:
10 Tai Tsun St.",1974,,
"      Tai Fung Building
      ???","Basement:
15 Tai Ching St.
Ground Floor:
27-31, 35-41 Tai Tsun St.
Upper Floors:
33 Tai Tsun St.",1975,,
"      Tai Kung Building
      ???","Ground Floor:
107-115, 119-127
Tai Kok Tsui Rd.
Upper Floors:
117 Tai Kok Tsui Rd.",1974,,
"      Tai Kwei Building
      ???","Ground Floor:
22-30, 34-42 Tai Tsun St.
Upper Floors:
32 Tai Tsun St.",1974,,
"      Tai Moon Building
      ???","Ground Floor:
43-51, 55-59 Tai Tsun St.
Upper Floors:
53 Tai Tsun St.",1975,,
"      Tai Shing Building
      ???","Ground Floor:
70-74, 78-86 Ivy St.
1st Floor:
76/96 Ivy St.
Upper Floors:
76 Ivy St.",1975,,
"      Tai Wah Building
      ???","Ground Floor:
65-67 Kok Cheung St.
72-74 Tai Tsun St.
64-68 Wong Tai St.
Upper Floors:
62 Wong Tai St.",1976,,
"      Tai Wai Building
      ???","Ground Floor:
89-97, 101-105 Ivy St.
Upper Floors:
99 Ivy St.",1975,,
"      Tai Wing Building
      ???","Ground Floor:
44-52, 56-60 Tai Tsun St.
Upper Floors:
54 Tai Tsun St.",1974,,
"      Tai Yau Building
      ???","Ground Floor:
56-58 Ivy St.
6-10, 14-16 Tai Ching St.
13-21 Tai Tsun St.
Upper Floors:
12 Tai Ching St.",1974,,
"      Tai Yick Building
      ???","Ground Floor:
43-45 Kok Cheung St.
117-119 Ivy St.
30-32 Wong Tai St.
Upper Floors:
34 Wong Tai St.",1976,,
"      Tai Ying Building
      ???","Ground Floor:
51-61 Kok Cheung St.
116-118 Ivy St.
73-75 Tai Tsun St.
44-46, 50-52 Wong Tai St.
Upper Floors:
48 Wong Tai St.",1976,,
"Cosmopolitan Hotel
      ????",387 Queen’s Rd. E.,1978,,
"Cosmos Building
      *??????",8-11 Lan Kwai Fong,1980,,
Cot by the Sea,10 Shek O Headland,1965,,
"Country Apartment
      ????",15/23 Stanley Village Rd.,1966,,
"Country Villa
      *??",28 Shouson Hill Rd.,1972,,
"Country Villa
      *????",4 Shouson Hill Rd.,1964,,
"Court of Final Appeal
      ????",8 Jackson Rd.,-,,
"Courtyard by Marriott Hong Kong
      ??????",167 Connaught Rd. W.,2007,,
"Cowall Court
      ???",22 Grampian Rd.,1975,,
"Cozzy Lodge
      ???",111 Boundary St.,1972,,
Cragside Mansion,23 Barker Rd.,1975,,
"Craigengower Cricket Club
      ??????",188 Wong Nai Chung Rd.,1947,,
"Craigmount
      *??",34 Stubbs Rd.,1972,,
"Crane Court
      ???",45 Sassoon Rd.,1974,,
"Crason Commercial Centre
      *??????",333 Nathan Rd.,1996,,
"Crawford House
      ????",70 Queen's Rd. C.,1977,,
"Crawford Tower
      ??????",99 Jervois St.,1989,,
"Crayon Building
      *????",66 Bulkeley St.,1991,,
"CRE Building
      ????",303 Hennessy Rd.,1995,,
"CRE Centre
      ????",889 Cheung Sha Wan Rd.,1995,,
"Creative Kindergarten
      ?????",6 Rutland Quadrant,2007,,
"Creative Kindergarten
      (Heng Fa Chuen)
      ?????(???)",100 Shing Tai Rd.,-,,
"Creative Mansion
      *???",6/8 Chatham Court,1972,,
"Creative Primary School &
      Kindergarten
      ????????",2A Oxford Rd.,-,,
"Crescent Heights
      *???",3 Tung Shan Terrace,1996,,
"Cristallo
      ??",279 Prince Edward Rd. W. ,2016,,
"Cronin Garden
      *????",(See Appendix II),,,
"      Blocks 1-4
      ?1-4?","Ground Floor:
2A Po On Rd.
186-190 Pratas St.
Basement & Upper Floors:
2 Po On Rd.
(See Appendix II)",,,
"      Blocks 5-7
      ?5-7?","Ground Floor:
16 & 20 Shun Ning Rd.
Basement & Upper Floors:
18 Shun Ning Rd.
(See Appendix II)",,,
"Crowfields Court
      *???",12/14 Lomond Rd.,1981,,
"Crown Industrial Building
      ??????",106 How Ming St.,1989,,
"Cruise Hotel
      ????",188 Pau Chung St.,2014,,
"Crystal Court
      *???",6 Man Wan Rd.,1967,,
"Crystal Mansion
      *??",3 Eastbourne Rd.,1971,,
"CTMA Centre
      ????",1N Sai Yeung Choi St. S.,1996,,
"CTS Court
      ???",363 Portland St.,2014,,
CUBUS,1 Hoi Ping Rd.,2010,,
"Cumberland House
      *?????","Ground Floor:
227 Nathan Rd. &
38 Pilkem St.
Upper Floors:
227 Nathan Rd.",1963,,
"Cumine Court
      *???",52 King's Rd.,1984,,
"Cupford House
      *???",108 Queen's Rd. W.,1983,,
"Curios Court
      *???","Ground Floor:
209-223 Hollywood Rd. &
1 Lok Ku Rd.
Upper Floors:
209/223 Hollywood Rd.",1979,,
"Customs Headquarters Building
      ??????",222 Java Rd. ,-,,
"Cyberport
      ???",100 Cyberport Rd.,2002,,
"Cyberport Sewage Treatment Plant
      ????????",121 Cyberport Rd.,-,,
"Cypress Garden
      *????",3 Ho Man Tin Hill Rd.,1995,,
"Cypresswaver Villas
      *????",32 Cape Rd.,1984,,
D.H.L. House,13 Mok Cheong St.,1980,,
"D.J. Building
      ????",173 Hoi Bun Rd.,1980,,
"D.J. Securities Building
      ??????",171 Hoi Bun Rd.,1966,,
"D2 Place One
      D2 Place??",9 Cheung Yee St.,1978,,
"Dah Chong Hong
      (Motor Service Centre) Limited
      Ap Lei Chau Service Centre
      ???????????
      ???????????",111 Lee Nam Rd.,1994,,
"Dah Keung Godown
      ????",155 Hoi Bun Rd.,1969,,
"Dah Sing Building
      *????","140 & 142 Cheung Sha
Wan Rd.",,,
"Dah Sing Life Building
      ??????",99/105 Des Voeux Rd. C.,1977,,
"Dah Way Industrial Building
      ??????",86 Hung To Rd.,1971,,
"Daily House
      *???",35/37 Haiphong Rd.,1974,,
"Dairy Farm Chung Hom Kok
      Shopping Centre
      ?????????",39 Chung Hom Kok Rd.,1977,,
"Dairy Farm Quarters
      ??????","RBL 758,
Pok Fu Lam Village",1961,,
"Dairy Farm Shopping Centre
      ????????",33 Cloud View Rd.,1976,,
"Dak Shing Building
      *????",88/94 Java Rd.,1962,,
"Dandenong Mansion
      *???",379/389 Jaffe Rd.,1988,,
"Dannies House
      ????",20 Luard Rd.,1968,,
"Dao Heng Bank Building
      ??????",742-744 Nathan Rd.,1983,,
"Dao Hing Building
      *???",32/34 Jordan Rd.,1968,,
"Dao Yuen Court
      *????",153 Argyle St.,1965,,
"Darton Tower
      ????",142 Wai Yip St.,1971,,
"Daughters of Mary Helps
      of Christians
      ???",115 Shatin Pass Rd.,1989,,
"David House
      ???",8/20 Nanking St.,1975,,
"David House
      *???","37/39 Lockhart Rd. &
15 Fenwick St.",1970,,
"David Mansion
      *???","93/103 Woosung St. &
4 Nanking St.",1963,,
"David Trench Rehabilitation Centre
      ???????",1F High St.,,,
"Dawn Garden
      *???",4 Ho Man Tin Hill Rd.,1975,,
"Dawning Height
      *???",80 Staunton St.,2000,,
"Dawning House
      ????",145 Connaught Rd. C.,1976,,
"DCH Building
      ???????",20 Kai Cheung Rd.,1984,,
"De Fenwick
      ???","Ground Floor:
8, 12 Fenwick St. &
42/50 Lockhart Rd.
Upper Floors:
10 Fenwick St. &
46 Lockhart Rd.",1966,,
"Decca Industrial Centre
      ??????",12 Kut Shing St.,1988,,
"Deep Water Bay Sewage
      Screening Plant
      ???????",30 Island Rd.,-,,
"Deepdene
      ????",55 Island Rd.,1973,,
"Delia Memorial School
      ?????????",221 Hip Wo St.,1980,,
"Delia Memorial School (Yuet Wah)
      ?????????(??)",19 Yuet Wah St.,,,
"Delight Court
      ???",132 Pei Ho St.,1999,,
"Delight Court
      *???",418 Ma Tau Wai Rd.,2002,,
"Delightful Mansion
      *????",54/60 Fort St.,1980,,
"Delite Court
      *???",4 Cornwall St.,1988,,
"Delite Mansion
      *????",3 Granville Circuit,1965,,
"Deltec Court
      *???",73C Waterloo Rd.,1988,,
"Derrick Industrial Building
      ??????",49 Wong Chuk Hang Rd.,1982,,
"Des Voeux Building
      *????",25 Des Voeux Rd. W.,1977,,
"Des Voeux Commercial Centre
      ??????",212-214 Des Voeux Rd. C.,1985,,
"Devon Court
      *???",16 Cornwall St.,1975,,
"Diamond Building
      *???","195-199 Nam Cheong St.
2A-2B Un Chau St. &
47-49 Tai Po Rd.",1967,,
"Diamond Building
      ???",99/103 Wuhu St.,1966,,
"Diamond Building
      *????","Ground Floor:
6-18 Tin Lok Lane
Upper Floors:
6/18 Tin Lok Lane",1976,,
"Diamond Court
      *???",10/12 Hillwood Rd.,1976,,
"Diamond Hill Baptist Church
      ??????",52 Fung Tak Rd.,1998,,
"Diamond Hill Kwong Yum
      Home for the Aged
      ????????",122 Shatin Pass Rd.,1965,,
"Diamond Mansion
      *????",462/468 Lockhart Rd.,1965,,
"Dianthus Court
      ???",12 Dianthus Rd.,1979,,
"Dickson Building
      *????","618-632 Canton Rd. &
10-14 Kansu St.",1977,,
"Diocesan Boys' School
      ?????",131 Argyle St.,-,,
"Diocesan Girls' School
      ?????",1 Jordan Rd.,-,,
"Diocesan Preparatory School
      ????",1 Chester Rd.,-,,
"Diocesan Preparatory School
      New Annexe
      ????",3 Chester Rd.,-,,
"Disciplined Services Sports
      & Recreation Club
      ??????????",9 Cotton Path,-,,
Diva,135 Electric Rd.,2015,,
"Dolford Mansion
      *????",1-3 Chatham Court,1980,,
"Dollar Building
      *????",143-145 Shau Kei Wan Rd.,1982,,
"Dollar Mansion
      ????",152-154 Shau Kei Wan Rd.,1968,,
"Domain
      ???",38 Ko Chiu Rd.,-,,
"Dominion Centre
      ??????",43-59 Queen's Rd. E.,1979,,
"Dominion Court
      *????",120 Waterloo Rd.,1970,,
Domus Mercury,23 Mercury St.,1997,,
Domus Queen's,123 Queen's Rd. W.,1995,,
"Donmark Mansion
      *???",126 Stanley Main St.,1987,,
Donnell Court,50/52A MacDonnell Rd.,1956,,
Dor Fook Mansion,126 Pok Fu Lam Rd.,1962,,
"Dor Fook Mansion
      *???",35/37B & 39/39A Gough St.,1958,,
"Dor Hei Building
      *????","Ground Floor:
9/17 Ting Fu St. &
86/88 Ting On St.
Upper Floors:
17 Ting Fu St.",1972,,
"Dorfu Court
      *???",5/6 Hau Fook St.,1987,,
"Dorsett Kwun Tong Hong Kong
      ????????",84 Hung To Rd.,2012,,
"Dorsett Mongkok Hong Kong
      ????????",88 Tai Kok Tsui Rd.,2010,,
"Dorsett Regency Hong Kong
      ??????",18 Davis St.,2011,,
Dotcom House,128 Wellington St.,1996,,
Double Bay,46 Island Rd.,1992,,
"Double Building
      ????",22 Stanley St.,1979,,
"Double Mansion
      *????","Ground Floor:
58-66 Pau Chung St.
Upper Floors:
62 Pau Chung St.",1984,,
"Double Set Commercial Centre
      *???????",37A/37B Jordan Rd.,1991,,
"Douvres Building
      *????","Ground Floor:
4 Nam Hong St. &
61, 63 & 65 Nam On St.
Upper Floors:
2 Nam Hong St.",1988,,
"Dr. Sun Yat-sen Museum
      ??????",7 Castle Rd.,Pre 1945?,,
"Draco Industrial Building
      *??????",46 Lai Yip St.,1981,,
"Dragon Centre
      ?????",37K Yen Chow St.,1993,,
"Dragon Centre
      *???","Ground Floor - 3rd Floor:
23 Wun Sha St.
4th Floor & above:
21 Wun Sha St.
25 Wun Sha St.
(See Appendix II)",,,
"      Towers I & II
      ?????",(See Appendix II),,,
"Dragon Court
      *???",100 Waterloo Rd.,1967,,
"Dragon Court
      *???",28 Caine Rd.,1996,,
"Dragon Court
      ???",30 Tai Hang Rd.,1981,,
"Dragon Court
      *????",6 Dragon Terrace,1980,,
"Dragon Court
      *????",6 Eastbourne Rd.,1967,,
"Dragon Garden
      ??",1 Chun Fai Terrace,1976,,
"Dragon Glory Mansion
      ???","Ground Floor:
66 & 68 Fei Fung St.
Upper Floors:
66 Fei Fung St.",1993,,
"Dragon Heart Court
      *???",11 Dragon Terrace,1984,,
"Dragon Heights
      *??",12 Eastbourne Rd.,1968,,
"Dragon Industrial Building
      *??????",93 King Lam St.,1979,,
"Dragon Lodge
      ??",32 Lugard Rd.,Pre 1945?,,
"Dragon Mansion
      ????",11-13 Lung Kong Rd.,1982,,
"Dragon Peak
      *???",9 Dragon Terrace,1983,,
"Dragon Phoenix Mansion
      *????",64 Sycamore St.,1963,,
"Dragon Pride
      *???",18 Tin Hau Temple Rd.,2000,,
"Dragon Rise
      *???",9/11 Pennington St.,1986,,
"Dragon View
      *???",39 MacDonnell Rd.,1964,,
"Dragon View
      *???",5 Dragon Terrace,1974,,
"Dragon View
      *???",83 Chung Hau St.,1998,,
"Dragon View Garden
      *????",16 Tin Hau Temple Rd.,1987,,
"Dragon View House
      *????","Ground Floor:
6/16 Hoi Tai St. &
7/9 Hoi Kwong St.
Upper Floors:
8 Hoi Tai St.",1977,,
"Dragon View Villa
      ???",4A South Bay Rd.,1966,,
"Dragon Villa
      ????",8 Sik On St.,1997,,
"Dragonfair Garden
      *????","Ground & First Floors:
455/485 Queen's Rd. W.",1992,,
"      Block 1
      ?1?",455 Queen's Rd. W.,,,
"      Block 2
      ?2?",485 Queen's Rd. W.,,,
"Dragonview Court
      ???",5 Kotewall Rd.,1989,,
"Duchy Heights
      *???",5 Duke St.,1972,,
"Duke Garden
      *??",2 Duke St.,1964,,
"Duke Mansion
      *????",4 Duke St.,1964,,
"Duke of Windsor Social
      Service Building
      ??????????",15 Hennessy Rd.,1975,,
"Duke Wellington House
      *???????",14/24 Wellington St.,1968,,
"Dun Tak Mansion
      *????",33-35B Dundas St.,1963,,
Dunbar Place,23 Dunbar Rd.,2013,,
"Dundas Square
      *?????",43H Dundas St.,1996,,
"Dundas St.
      Refuse Collection Point
      ?????????",60 Dundas St.,-,,
"Durham House
      ???",11B Durham Rd.,1996,,
"Dynasty Court
      ???",23 Old Peak Rd.,1991,,
"Dynasty Heights
      ???",,,,
"      Dynasty Villa
      ???",2 Yin Ping Rd.,1998,,
"            1 - 3, 5 - 12
            1 - 3, 5 - 12?",,,,
"      Sky Lodge
      ???",8 Yin Ping Rd.,1998,,
"            1 - 3 , 5 - 6
            1 - 3 , 5 - 6?",,,,
"      Tropicana
      ???",2 Yin Ping Rd.,1999,,
"            1 - 3, 5 - 6
            1 - 3, 5 - 6?",,,,
"Dynasty Plaza
      ????",4 Mong Kok Rd.,1991,,
"Dynasty Villa
      ???",14 Dianthus Rd.,1993,,
"E Fat Building
      ???",289 Castle Peak Rd.,1980,,
E View,4 Hoi Fung Path,1978,,
"E-Trade Plaza
      ????",24 Lee Chung St.,2012,,
"E. Tat Factory Building
      *??????",4 Heung Yip Rd.,1974,,
"E. Wah Factory Building
      *??????",56/60 Wong Chuk Hang Rd.,1971,,
E168,166/168 Des Voeux Rd. C.,1968,,
"Ealing Court
      *???",259A Temple St.,1981,,
"Earl Gardens
      *???",1 Earl St.,1972,,
"Easey Building
      *????",512 Fuk Wing St.,1981,,
"Easey Commercial Building
      ??????",253-261 Hennessy Rd.,1977,,
"East Asia Mansion
      *????",23/29 Hennessy Rd.,1966,,
"East Garden
      *??",4 Tung Shan Terrace,1994,,
"East Hong Kong
      ??",29 Taikoo Shing Rd.,2009,,
"East Kowloon Polyclinic
      ????????",160 Hammer Hill Rd.,-,,
"East Ocean Centre
      ??????",98 Granville Rd.,1982,,
"East Ocean Court
      *???",525 Shanghai St.,1997,,
"East Point Centre (New Wing)
      ???? (??)",555 Hennessy Rd.,1993,,
"East Point Centre (Old Wing)
      *???? (??)",555 Hennessy Rd.,1985,,
"East South Building
      *????","475/481 Hennessy Rd.
& 29 Percival St.",1965,,
"East Sun Industrial Building
      *??????",16 Shing Yip St.,1977,,
"East Sun Mansion
      *????",39-41A Robinson Rd.,1973,,
"East Town Building
      ????","Basement Carparks:
64 Jaffe Rd.
Lower Ground Floor:
41 Lockhart Rd.
Upper Ground Floor:
16 Fenwick St.
1/F – 20/F:
41 Lockhart Rd.",1976,,
"Eastbourne Court
      *???",5-7 Eastbourne Rd.,1965,,
"Eastern Central Plaza
      ????",3 Yiu Hing Rd.,1996,,
"Eastern Centre
      ????",1065 King's Rd.,1985,,
"Eastern Commercial Centre
      ??????",83 Nam On St.,1995,,
"Eastern Commercial Centre
      ??????","Basement & Ground Floors:
395-399 Hennessy Rd.
Upper Floors:
397 Hennessy Rd.",1975,,
"Eastern Divisional
      North Point Police Station
      ????????????",343 Java Rd.,-,,
"Eastern Filters New Workman's
      Quarters",39 Stubbs Rd.,-,,
"Eastern Flower Centre
      ????",22/24 Cameron Rd.,1988,,
"Eastern Harbour Centre
      *????",28 Hoi Chak St.,1992,,
"Eastern Law Courts Building
      ??????",29 Tai On St.,-,,
"Eastern Plaza
      ???",111 Chai Wan Rd.,1983,,
"Eastland Heights
      *??",49 Broadcast Drive,1976,,
"Eastland Towers
      *???","Ground Floor
183/191 Castle Peak Rd.,
280/288 Un Chau St.
167B/167E Pratas St.
Upper Floors:
167B/167E Pratas St.",1968,,
"Eastman Court
      ???","Ground Floor:
229 & 233 Hennessy Rd.
Upper Floors:
231 Hennessy Rd.",1987,,
"Eastview
      ???",3 Cox's Rd.,1976,,
"Eastway Towers
      *????","59/99 Shau Kei Wan
Main St. E.",1976,,
"Eastwood Centre
      ????",5 A Kung Ngam Village Rd.,1994,,
"Easy Tower
      ????",609 Tai Nan West St.,1998,,
"Easy-Pack Industrial Building
      *??????",140 Wai Yip St.,1966,,
"Eaton Hotel
      ????",380 Nathan Rd.,1990,,
"Eaton Hotel Banquet &
      Conference Centre
      ??????????",380 Nathan Rd.,1990,,
Eaton Residences,100 Blue Pool Rd.,1989,,
Eaton Residences,3/5 Wan Chai Gap Rd.,1990,,
Eaton Residences,4H Village Rd.,1988,,
"Ebenezer School
      ????",131 Pok Fu Lam Rd.,-,,
"ECF Saint Too Canaan College
      ????????
      ??????",6 Lee On Lane,-,,
"Echo Peak Tower
      *???",61 Fort St.,1988,,
"Eco Tree Hotel
      ????",160 Des Voeux Rd. W.,1997,,
"Ede Terrace
      *???",15 Ede Rd.,1959,,
"Eden Gate 
      ??",,2014,,
"      House A
      ??A",9 Ede Rd.,,,
"      House B
      ??B",7 Ede Rd.,,,
"      House C
      ??C",5 Ede Rd.,,,
"      Towers 1 & 2
      ?1??2?",11 Ede Rd.,,,
"Eden View
      *???",18 Stanley Village Rd.,1977,,
"Edinburgh Tower
      ????","Ground Floor:
11-19A Queen's Rd. C.
Upper Floors:
15 Queen's Rd. C.",1982,,
"Edmund's Mansion
      *????","Ground Floor:
233 & 235 Fa Yuen St.
Upper Floors:
233/235 Fa Yuen St.",1989,,
"Edward Court
      *???",5 Man Wan Rd.,1965,,
"Edward Mansion
      *????",141 Prince Edward Rd. W.,1970,,
"Edward Mansion
      *????",230 Prince Edward Rd. W.,1961,,
"Edward Wong Tower
      ????",910 Cheung Sha Wan Rd.,1991,,
"Edwardian Heights (Phase I)
      *??? (??)",309 Prince Edward Rd. W.,1972,,
"Edwardian Heights (Phase II)
      *??? (??)",303 Prince Edward Rd. W.,1973,,
"Effectual Building
      ????",16 Hennessy Rd.,1996,,
"Efficiency House
      *??????",35 Tai Yau St.,1965,,
"EGL Tower
      ?????",83 Hung To Rd.,2007,,
"EIB Tower
      *??????",4/6 Morrison Hill Rd.,1991,,
Eight College,8 College Rd.,2011,,
"Eight Commercial Tower
      ??????",8 Sun Yip St.,1994,,
Eight Kwai Fong,8 Kwai Fong St.,2015,,
Eight South Lane,8/12 South Lane,2015,,
"Eiver House
      *????","26/28 Kai Ming St. &
29/33 Wing Kwong St.",1958,,
"Eivissa Crest
      ??",100 Hill Rd.,2016,,
"Ek Nam Building
      *????",486/488 Nathan Rd.,1962,,
El Monte,31 Kent Rd.,1982,,
"Elaine Court
      *???","Ground Floor:
211, 215 Tung Choi St.
Upper Floors:
213 Tung Choi St.",1986,,
"Eldex Industrial Building
      *??????",21 Ma Tau Wai Rd.,1971,,
"Electric Tower
      ????",1 Lee Hing St.,1997,,
"Electrical and Mechanical Services
      Department Kowloon Bay
      Vehicle Servicing Station
      ????????????",3 Cheung Yip St.,-,,
"Elegance Court
      *???",2/4 Tsoi Tak St.,1986,,
"Elegance Court
      *???","6-14 Upper Station St.
(See Appendix II)",,,
"Elegance Court
      ???",324 Sai Yeung Choi St. N.,2004,,
"Elegance House
      *????",630 King's Rd.,1961,,
"Elegance Printing Centre
      ????????",8 A Kung Ngam Village Rd.,1980,,
"Elegance Tower
      ??",64 Village Rd.,1992,,
"Elegant Court
      *??",14 & 14A Shan Kwong Rd.,1981,,
"Elegant Court
      ???",333 Tai Hang Rd.,1982,,
"Elegant Garden
      *???",11 Conduit Rd.,1976,,
"Elegant Garden
      *???",18 Babington Path,1975,,
"Elegant Garden
      *????",409 Queen's Rd. W.,1987,,
"Elegant Terrace
      *???",13 Village Terrace,1992,,
"Elegant Terrace
      *???",36 Conduit Rd.,1990,,
"Elex Industrial Building
      ????",131 Tung Chau St.,1996,,
"Elgar Mansion
      *????",41-43 Fort St.,1983,,
"Elgin Building
      *???",41/43 Elgin St.,1971,,
"Elite Centre
      ????",22 Hung To Rd.,2012,,
"Elite Court
      ???","Ground Floor:
29, 31 & 35 Centre St.
Upper Floors:
33 Centre St.",2002,,
"Elite Industrial Centre
      *??????",883 Cheung Sha Wan Rd.,1986,,
"Elite Villa
      *???",15 & 17 Tat Chee Avenue,1979,,
"Elite Villas
      ???",22 Shouson Hill Rd.,1993,,
"Elite's Place
      *????",80 Ko Shing St.,2003,,
"Eliza Building
      *?????",185/191 Sai Yee St.,1974,,
"Elizabeth House
      ??????",,1978,,
"      G/F-6/F
      ???6?",250/254 Gloucester Rd.,,,
"      Tower A
      A?",250 Gloucester Rd.,,,
"      Tower B
      B?",252 Gloucester Rd.,,,
"      Tower C
      C?",254 Gloucester Rd.,,,
"Elizabethan Court
      ??????",59/65 Beacon Hill Rd.,-,,
"Ellen Building
      *????","Ground Floor:
192-198 Shau Kei Wan Rd.
10 Hoi Lee St.
Upper Floors:
192/198 Shau Kei Wan Rd.",1976,,
"Ellery Terrace
      ?????",38 Good Shephard St.,2000,,
"Elly House
      *????","Ground Floor:
57/61, 65/69 Hong Ning Rd.
& 32/38A Tung Ming St.
Upper Floors:
63 Hong Ning Rd.",1974,,
"Elm Tree Towers
      *????",,1983,,
"      Block A
      A?",8 Chun Fai Rd.,,,
"      Block B
      B?",10 Chun Fai Rd.,,,
Elsa High School & Kellett School ,460 Shau Kei Wan Rd.,-,,
"Eltanin.Square Mile
      ??????",11 Li Tak St.,2017,,
"Eltee Building
      ????",3 Ning Foo St.,1975,,
"Emerald 28
      ??28","Ground & First Floors:
22 & 26 Tai Po Rd.
Upper Floors:
28 Tai Po Rd.",2010,,
"Emerald Court
      *???",14 Conduit Rd.,1966,,
"Emerald Court
      ??",158 Nga Tsin Wai Rd.,1963,,
"Emerald Garden
      *???",86 Pok Fu Lam Rd.,1974,,
"Emerald Gardens
      *???",36 Kotewall Rd.,1971,,
"Emerald Ridge
      ???",9 Cape Drive,1984,,
"Emma Place
      *???","Lower Ground Floor &
First Floor:
73D Waterloo Rd.
Upper Floors:
8 Emma Avenue",2001,,
"Emmanuel Church Primary School
      ????",36/38 Shing Tak St.,1962,,
"Emmanuel House
      Rhenish Mission School
      ?????????",86A Bonham Rd.,2006,,
"Emperor Group Centre
      ??????",288 Hennessy Rd.,1994,,
"Emperor Height
      *???",5 Cox's Rd.,1995,,
"Emperor Place
      ???",7 Oxford Rd.,1999,,
"Emperor Watch and Jewellery Centre
      ????????",8 Russell St.,2001,,
"Emperorland Commercial Building
      ??????",4/6 On Lan St.,1975,,
"Empire Apartments
      *????",293/299 King's Rd.,1957,,
"Empire Building
      ????",176/178 Des Voeux Rd. W.,1964,,
"Empire Centre
      ????",68 Mody Rd.,1981,,
"Empire Court
      *????",2/4 Hysan Avenue,1958,,
"Empire Hotel
      ????",33 Hennessy Rd.,1990,,
"Empire Hotel Causeway Bay
      ???????",8 Wing Hing St.,1999,,
"Empire Prestige Causeway Bay
      ?????????",8A Wing Hing St.,2015,,
"Empress Plaza
      *????",17/19 Chatham Rd. S.,1993,,
"Energy Plaza
      ????",92 Granville Rd.,1983,,
"Eng Yu Evangelistic Mission
      ???????",26 Ching Wah St.,1968,,
"English Schools Foundation
      ??????",43B Stubbs Rd.,1996,,
"English Schools Foundation
      Kowloon Junior School
      ??????????",4 Rose St.,1958,,
"Enterprise Building
      *????",228/238 Queen's Rd. C.,1978,,
"Enterprise Square
      ????",9 Sheung Yuet Rd.,1992,,
"Enterprise Square Five
      ????5?",38 Wang Chiu Rd.,2007,,
"Enterprise Square Three
      ????3?",39 Wang Chiu Rd.,2004,,
"Enterprise Square Two
      ????2?",3 Sheung Yuet Rd.,2001,,
"Entertainment Building
      ???",30 Queen's Rd. C.,1993,,
"Entrepot Centre
      ????",117 How Ming St.,1994,,
Envoy Garden,108 Blue Pool Rd.,1976,,
Epworth Lodge,51 Barker Rd.,1949,,
*Eredine,38 Mount Kellett Rd.,1965,,
